name,auditID,qualityType,auditDate,auditEnd,Date,Audit Standard,Address,SAM,Available in MI/SI?,Final QCR,Calculation completed,Date of Calculation,Missing Data,Minor - Observations,Major - Observations,Critical - Observations,Observations rating,Avg Rating Quality Documentation,Avg Rating Quality Monitoring,Avg Rat Facilities and Operations,Compliance Score,capaAdequacy,CAPA baseline,actionPlanSent,Initial NEW,Days,CAPA score,Observations DATA available,Rating DATA available,CAPA DATA available,Award,Award,Request to increase Score
SM Kunststoffverarbeitung e.K.,recuG0ENA0Y4DJUF8,GMP_PACKAGING,06/07/2022,,06/07/2022,,"Welitscher Str. 17, 
96515, Föritztal OT Heinersdorf, 
Germany",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,6,5,0,32.6,34,1,34,22.45,NoAdequacy,Missing adequacy,08.08.2022,15.02.2023,177,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
SHARON BIO MEDICINE LTD,receQHWm4x46VXemf,GMP_API,07/07/2022,,07/07/2022,,"Taluka - Panvel,, Plot No. L6, MIDC Rd, Taloja, 
410208, Navi Mumbai, 
Maharashtra, 
India",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,6,1,0,62.5,59,67,54,59.80,NoAdequacy,Missing adequacy,12.08.2022,15.10.2022,50,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Swiss Caps GmbH,recv0hPkVdPJE4V2A,GMP_FDF,07/07/2022,,07/07/2022,,"Grassingerstraße 9, 
83043, Bad Aibling, 
Germany",Nicolina Guasch,Yes,Missing/wrong Data,FALSE,,TRUE,6,0,0,73.5,59,54,42,50.45,NoAdequacy,Missing adequacy,29.07.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Dunav Press JSC,rec5yx44Ph4MEVYsi,ISO_9001,07/07/2022,,07/07/2022,,"Lipnik 129 Blvd., 
7005, Ruse, 
Bulgaria",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,59,67,60,62.20,NoAdequacy,Missing adequacy,03.08.2022,11.08.2022,0,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Linnea SA,reccFA9pPt4ylvn7s,GMP_API,07/07/2022,,07/07/2022,,"Via cantonale, 
6595, Riazzino, 
Switzerland",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,6,0,0,73.5,75,67,67,69.00,NoAdequacy,Missing adequacy,04.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
AMI Lifesciences Pvt. Ltd,recwtChobPPNAMfmC,GMP_API,11/07/2022,12/07/2022,11/07/2022 - 12/07/2022,,"82/B, ECP ROAD, AT & POST KARAKHADI, TAL. PADRA, 
391450, Gujarat, 
Vadodara, 
India",Victoria Holmberg,Yes,Missing/wrong Data,FALSE,,TRUE,7,1,0,59.4,67,67,60,64.20,NoAdequacy,Missing adequacy,02.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Oriental Aromatics Ltd. (Camphor & Allied Products),recOBHqyQ5SbUCvYu,GMP_API,11/07/2022,,11/07/2022,,"P.O Clutterbuckganj, Uttar Pradesh, 
243502, Bareilly, 
India",Omar Taha,Yes,Missing/wrong Data,FALSE,,TRUE,4,3,0,50.0,50,60,67,60.30,NoAdequacy,Missing adequacy,05.08.2022,19.09.2022,31,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
D.O.G. LEAFLET GmbH & Co. KG,recwPJYZn3BObIqvl,GMP_PACKAGING,12/07/2022,,12/07/2022,,"Kleyerstraße 9, 
64295, Darmstadt, 
Germany",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,7,0,0,69.8,59,67,67,65.00,NoAdequacy,Missing adequacy,19.08.2022,31.10.2022,59,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
"Zhuhai Rundu Pharmaceutical Co., Ltd",recreVgkR9eklO1S8,GMP_API,12/07/2022,13/07/2022,12/07/2022 - 13/07/2022,,"NO.6, NORTH AIRPORT ROAD, SANZAO TOWN, JINWAN DISTRICT, ZHUHAI, GUANGDONG, 
519041, Zhuhai, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,67,67,54,61.80,NoAdequacy,Missing adequacy,08.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Envases Metalúrgicos De Álava S A,recN70By3QWweEIpZ,GMP_PACKAGING,12/07/2022,,12/07/2022,,"Goienuri 1, 
Alava, 
Llodio, 
Spain",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,1,2,0,68.6,50,67,67,62.75,NoAdequacy,Missing adequacy,24.08.2022,14.09.2022,7,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Dr. Reddy’s Laboratories Ltd.,reccFlcwcUmWSMgin,GMP_API,13/07/2022,,13/07/2022,,"Plot No. 116, Sri Venkatswara Co-operative Industrial Estate, 
Hyderabad, Telangana, 
IDA Bollaram, Jinnaram, Mandal, 
India",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,67,60,64.20,NoAdequacy,Missing adequacy,14.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
D.O.G. PACKAGING GmbH & Co. KG,recJJMFhCF1MPEfFr,GMP_PACKAGING,13/07/2022,,13/07/2022,,"Kleyerstraße 3, 
64295, Darmstadt, 
Hessen, 
Germany",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,6,0,0,73.5,59,67,67,65.00,NoAdequacy,Missing adequacy,19.08.2022,31.10.2022,59,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Wavelength Enterprises Ltd.,recqhZCIyhf3ijQUS,GMP_API,13/07/2022,,13/07/2022,,"Neot-Hovav, Industrial Park, 
8413502, Be’er-Sheva, 
Israel",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,7,0,0,69.8,59,74,67,67.45,NoAdequacy,Missing adequacy,21.07.2022,01.09.2022,28,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Maprimed S.A.,recUXnrFCaRatyT1E,GMP_API,13/07/2022,,13/07/2022,,"Coronel Prudencio Murguiondo 2011, 
C1440 CNS, Buenos Aires, 
Argentina",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,67,67,60,64.20,NoAdequacy,Missing adequacy,16.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
METROCHEM API PRIVATE LIMITED,rec0CqhgbtMfrNHpu,GMP_API,14/07/2022,15/07/2022,14/07/2022 - 15/07/2022,,"UNIT- IV, PLOT NO: 34B, 40B & 60B, JNPC, PARAWADA(M), THANAM(V), 
Visakhapatnam, 
India",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,59,67,60,62.20,NoAdequacy,Missing adequacy,19.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Aurobindo Pharma Ltd. (Unit 1),recX7OBm0z8yZKQuT,GMP_API,14/07/2022,15/07/2022,14/07/2022 - 15/07/2022,,"Medak District, Hatnoora, Andhra Pradesh, 
502 296, Borpatla, 
Unit-I, Survey No. 379,385, 386, 388 to 396, 
India",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,6,0,0,73.5,59,67,67,65.00,NoAdequacy,Missing adequacy,08.08.2022,23.11.2022,93,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Archimica S.p.A.,recSB891ZgyFwYckR,GMP_API,14/07/2022,,14/07/2022,,"Via Milano 86, 
26900, Lodi, 
Italy",Omar Taha,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,59,60,67,62.55,NoAdequacy,Missing adequacy,12.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Constantia Louvain SPRL,rec2ISDxAJfjnyEtp,GMP_PACKAGING,14/07/2022,,14/07/2022,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP)","Rue du Bosquet 5, 
1348, Louvain-La-Neuve, 
Belgium",Victoria,Yes,84.04,TRUE,,FALSE,1,0,0,95.0,67,56,67,63.15,Good,85,18.08.2022,19.08.2022,0,85.00,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Neuland Laboratories Ltd (Unit 2),recCexfEv66QA7RNQ,GMP_API,14/07/2022,,14/07/2022,,"Plot N° 92, 93, 94, 257, 258, 259, India, 
502 319, Pashamylaram, Isnapur Village, 
IDA Pashamylaram, 
India",Omar Taha,Yes,Missing/wrong Data,FALSE,,TRUE,4,3,0,50.0,67,54,54,57.25,NoAdequacy,Missing adequacy,22.08.2022,03.10.2022,28,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Chunghwa Chemical Synthesis & Biotech Co. Ltd.,recfpXY5qBfq6qhnK,GMP_API,14/07/2022,,14/07/2022,EUGMP Part II / ICH Q7,"1 Tung-Hsingh Street, ShuLin Dist., 
23850, New Taipei City, 
Taiwan 238, 
Taiwan",Chieh Huang,Yes,62.67,TRUE,,FALSE,4,0,0,81.5,59,54,60,57.65,Good,85,25.07.2022,12.01.2023,157,38.69,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
Loxxess Pharma GmbH,rec3RBXp3RKYHKFYo,GDP_DISTRIBUTION,14/07/2022,,14/07/2022,,"Oberheisinger Str. 11, 
93073, Neutraubling, 
Germany",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,2,2,0,65.2,56,67,50,57.45,NoAdequacy,Missing adequacy,16.08.2022,08.12.2022,100,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Zuellig Pharma Ltd,recXRFIYPlkH2ejXY,GDP_DISTRIBUTION,15/07/2022,,15/07/2022,"EC Guidelines of 5 November 2013 on Good Distribution Practice of medicinal products for human use (2013/C 343/01)
EC Guidelines of 19 March 2015 on principles of Good Distribution Practice of active substances for medicinal products for human use (2015/C 95/01)
","99/19, 99/20 Moo 3, Bangna-Trad Road KM.23, Tambol Bangsaothong, 
10570, Bangkok, 
Amphoe Bangsaothong, Samutprakarn, 
Thailand",Chieh Huang,Yes,90.83,TRUE,,FALSE,0,0,0,100.0,67,67,84,73.80,No CAPA needed,No CAPA needed,05.08.2022,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Thermo Fisher Scientific Instruments Co. Ltd,recUkz19uAAWxgtQz,GMP_MED_DEV,15/07/2022,,15/07/2022,,"No. 297, Thaishan Road, 
215129, Suzhou, 
China",Chieh Huang,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,NoAdequacy,Missing adequacy,21.07.2022,12.10.2022,69,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,TRUE,FALSE
OASIS Group (Removal Services Scotland),rect4m8N93Tqhy65Y,ISO_9001,18/07/2022,19/07/2022,18/07/2022 - 19/07/2022,,"6 Oakbank Park Place, Oakbank Ind. Estate, 
EH53 0TN, Livingston, 
West Lothian, 
United Kingdom",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,1,2,0,68.6,59,56,67,61.15,NoAdequacy,Missing adequacy,17.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Shilpa Pharma Lifescience Limited - Unit 2,rec1BZ59MTpPeVB9h,GMP_API,19/07/2022,,19/07/2022,,"Plot nº 33, 33A & 40-47, Raichur Industrial Growth Centre, Wadloor Road, Chicksugur Post, Raichur, Karnataka, 
584134, Karnataka, 
India",Omar Taha,Yes,75.03,TRUE,,FALSE,2,0,0,90.3,59,60,67,62.55,Good,85,08.08.2022,22.10.2022,61,62.61,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Carbagas AG,rec2dkLR4vg1k9kQc,GMP_LABORATORY,19/07/2022,,19/07/2022,,"Vy d'Avenches 89, 
1564, Domdidier, 
Switzerland",Nicolina Guasch,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,75,67,Check,#VALUE!,NoAdequacy,Missing adequacy,31.08.2022,13.09.2022,0,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
PT Sinkona Indonesia lestari,recoTk9SblPVLs7xt,GMP_API,19/07/2022,20/07/2022,19/07/2022 - 20/07/2022,,"Jl. Raya Ciater Km. 171, West Java, 
41281, Subang, 
Indonesia",Nicolina Guasch,Yes,Missing/wrong Data,FALSE,,TRUE,4,2,2,14.7,42,41,34,38.45,NoAdequacy,Missing adequacy,22.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Zhejiang Kangle Pharmaceutical Co., Ltd.",recbMEzRmrUE3ao2u,GMP_API,20/07/2022,,20/07/2022,,"No. 555, the 8th Binhai Road, Economic Technological Development Zone, China, 
Binhai Industrial Zone, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,67,67,67,67.00,NoAdequacy,Missing adequacy,07.09.2022,19.09.2022,0,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Cell Culture Company, LLC",reci7owhnAfe9E8kD,ISO_9001,20/07/2022,,20/07/2022,"ISO 9001:2015 - Quality management systems, as applicable to the manufacturing of process aids for a medicinal product","8500 Evergreen Blvd., 
MN 55433, Minneapolis, 
United States",Anne Germer,Yes,88.73,TRUE,,FALSE,0,0,0,100.0,59,67,74,67.80,No CAPA needed,No CAPA needed,02.09.2022,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Reading Scientific Services Ltd (RSSL),recQPwaD9oX87Y0o2,GMP_LABORATORY,20/07/2022,,20/07/2022,,"Reading Science Centre, Whiteknights Campus, Pepper Lane, 
RG6 6LA, Reading, 
United Kingdom",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,67,Check,#VALUE!,NoAdequacy,Missing adequacy,22.08.2022,18.08.2022,0,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
Piramal Healthcare Uk Limited,recC9X7vs5CBcQtfH,GMP_API,20/07/2022,,20/07/2022,,"Whalton Road, 
NE61 3YA, Morpeth (Northumberland), 
United Kingdom",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,5,0,0,77.4,67,42,60,55.45,NoAdequacy,Missing adequacy,22.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Towa Pharmaceuticals Europe SL (formerly Laboratorios Esteve),recmIuESeLMfasZX7,GMP_FDF,20/07/2022,,20/07/2022,,"C/ de Sant Marti 75-97, 
8107, Martorelles, 
Barcelona, 
Spain",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,75,67,93,79.40,NoAdequacy,Missing adequacy,01.08.2022,03.01.2023,141,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
ALHA GmbH & Co. KG,recssXVJmtcuRksxm,GMP_PACKAGING,20/07/2022,,20/07/2022,,"Industriestraße 1, 
96515, Sonneberg, 
Germany",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,9,3,0,38.7,26,23,47,33.35,NoAdequacy,Missing adequacy,01.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Taizhou Xianju Pharmaceutical Co., LTD",reccAbAbouEgbckeX,GMP_API,21/07/2022,,21/07/2022,,"Taizhou Xianju Pharmaceutical Co., LTD, 
317016, Linhai, Zhejiang, 
No.3 Donghai Fourth Avenue Duquiao Medical and Chemical Industry Zone, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,3,2,0,61.9,67,67,60,64.20,NoAdequacy,Missing adequacy,16.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Cipla Limited (Unit IV),recGQ0C3C8lKrxrjY,GMP_FDF,21/07/2022,,21/07/2022,,"Plot No. L139 to L146, 
403722, Verna, Salcette, Goa, 
Verna Industrial Estate, 
India",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,67,67,67,67.00,NoAdequacy,Missing adequacy,26.08.2022,07.10.2022,28,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Nuova Ompi S.R.L.,rec8YnRfe3JX9BHCR,GMP_PACKAGING,21/07/2022,,21/07/2022,,"VIA MOLINELLA 17, 
35017, Piombino Dese, 
Italy",Omar Taha,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,59,56,74,63.95,NoAdequacy,Missing adequacy,24.08.2022,17.11.2022,71,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
CEBIPHAR S.A.S.,recyciC2vNlYfTK6o,GMP_LABORATORY,26/07/2022,,26/07/2022,,"3 Rue des Satellites, 
31400, Toulouse, 
France",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,1,1,0,80.8,59,67,Check,#VALUE!,NoAdequacy,Missing adequacy,12.08.2022,05.09.2022,10,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
Innova Pharmactive Pvt. Ltd.,recbLlPnByrw1uStB,GMP_API,26/07/2022,,26/07/2022,,"Ns 13-16 Nagpur Industrial Estate Cooperative Society Ltd. Uppalwadi, 
440026, Nagpur, 
Uppalwadi, 
India",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,4,1,0,69.2,50,54,60,55.40,NoAdequacy,Missing adequacy,11.08.2022,18.10.2022,54,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Healthcare Packaging (US) Inc. (formerly Clariant- Sud Chemie),rec69vQYiw1OI7hyk,GMP_PACKAGING,26/07/2022,,26/07/2022,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP).","101 Christine Drive Rio Grande Industrial Park, 
87002, Belen, 
New Mexico, 
United States",Victoria Holmberg,Yes,89.80,TRUE,,FALSE,0,0,0,100.0,67,78,67,70.85,No CAPA needed,No CAPA needed,07.09.2022,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Teijin Pharma Limited,recHZvXAWiK5zt606,GMP_API,26/07/2022,,26/07/2022,,"Kasumigaseki, Common Gate West Tower 2-1, Kasumigaseki 3-chome, 
100-8585, Tokyo, 
Chiyoda-ku, 
Japan",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,67,67,67.00,NoAdequacy,Missing adequacy,05.08.2022,25.08.2022,6,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Laboratories Pharmaster,recyWzPBEBfuh7JTg,GMP_MED_DEV,27/07/2022,,27/07/2022,,"Z I Erstein Krafft, 
67150, Erstein, 
France",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,0,3,0,61.4,50,59,60,57.15,NoAdequacy,Missing adequacy,18.08.2022,01.11.2022,61,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Zhejiang Changhai Pharmaceuticals Co., Ltd",recEioyJMX4keWBQe,GMP_API,27/07/2022,,27/07/2022,,"188 Mid Zhiyuan Avenue, Binhai New Area, 
312366, Shaoxing, 
Zhejiang Province, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,67,67,54,61.80,NoAdequacy,Missing adequacy,31.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
BioChem Corporation,recRkJyhz27AXQgN1,GMP_API,28/07/2022,29/07/2022,28/07/2022 - 29/07/2022,,"2146-3 Tamagawa Tokigawamachi Hikigun, 
Saitama, 
Japan",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,50,60,67,60.30,NoAdequacy,Missing adequacy,24.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Lacsa (Pty) Limited,rec3TXXHRmG3H5jqx,GMP_API,28/07/2022,,28/07/2022,,"72 Ballantrae Road, Merebank, PO Box 31003, 
4052, Durban, 
KwaZulu-Natal, 
South Africa",Victoria Holmberg,Yes,59.66,TRUE,19/03/2025,FALSE,3,3,0,52.7,67,60,47,56.55,Good,85,13.09.2022,28.10.2022,31,72.77,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
"Bluepharma Indústria Farmacêutica, S.A.",recJiUBqLhW1NcPkV,GMP_FDF,28/07/2022,,28/07/2022,,"S. Martinho do Bispo, 
3045-016, Coimbra, 
Portugal",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,67,60,64.20,NoAdequacy,Missing adequacy,16.09.2022,22.12.2022,83,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Gaplast GmbH,reciSH8Q7gHL6CCjL,GMP_PACKAGING,28/07/2022,,28/07/2022,,"August-Moralt Strasse 9, 
86971, Peiting, 
Germany",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,50,56,67,58.90,NoAdequacy,Missing adequacy,19.08.2022,30.08.2022,0,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
