status,monographNumber,englishName,latinName,substance,certificateHolder,cepNumber,cepType,cepStatus,cepIssueDate,cepEndDate,closureDateLastProcedure
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,YUNG ZIP CHEMICAL IND. CO.; LTD. Taichung TW,CEP 2018-016 - Rev 03,Chemical,Valid,19/12/2024,,20/12/2024
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,ARCH PHARMALABS LIMITED Mumbai IN,CEP 2002-022 - Rev 07,Chemical,Valid,25/02/2025,,25/02/2025
In use,1003,Dipotassium phosphate,Dikalii phosphas,Dipotassium phosphate,Merck KGaA Darmstadt DE,R1-CEP 2014-307 - Rev 00,Chemical,Valid,10/12/2020,,10/12/2020
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride; Process I,DR. REDDY'S LABORATORIES LIMITED Hyderabad IN,R0-CEP 1997-081 - Rev 01,Chemical,Withdrawn by Holder,17/12/2002,06/11/2003,06/11/2003
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride,PCAS Longjumeau FR,R1-CEP 1998-135 - Rev 02,Chemical,Withdrawn by Holder,29/06/2009,20/07/2009,29/06/2009
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride,DR. REDDY'S LABORATORIES LIMITED Hyderabad IN,R1-CEP 2002-245 - Rev 04,Chemical,Withdrawn by Holder,08/10/2015,12/10/2023,08/10/2015
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride,MITSUBISHI TANABE PHARMA CORPORATION Chuo-Ku JP,R1-CEP 2001-177 - Rev 05,Chemical,Withdrawn by Holder,19/10/2015,17/03/2017,19/10/2015
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride,Finorga S.A.S. Mourenx FR,R1-CEP 1998-115 - Rev 05,Chemical,Valid,29/06/2018,,29/06/2018
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride,DIVI'S LABORATORIES LIMITED Hyderabad IN,R1-CEP 1999-156 - Rev 10,Chemical,Valid,24/02/2020,,18/02/2021
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride,PIRAMAL PHARMA LIMITED Digwal Village IN,R1-CEP 1997-121 - Rev 14,Chemical,Valid,07/01/2022,,07/01/2022
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride; Process B,PIRAMAL PHARMA LIMITED Digwal Village IN,R1-CEP 2015-260 - Rev 01,Chemical,Valid,07/01/2022,,07/01/2022
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride,FLEMING LABORATORIES LIMITED Nawabpet Village IN,R0-CEP 2020-181 - Rev 00,Chemical,Valid,11/01/2023,,11/01/2023
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride,F.I.S. - Fabbrica Italiana Sintetici S.p.A. Montecchio Maggiore IT,CEP 1998-036 - Rev 08,Chemical,Valid,24/05/2024,,24/05/2024
In use,1004,Diltiazem hydrochloride,Diltiazemi hydrochloridum,Diltiazem hydrochloride,TAPI NL B.V. Amsterdam NL,CEP 1997-077 - Rev 15,Chemical,Valid,12/03/2025,,12/03/2025
In use,1005,Disopyramide phosphate,Disopyramidi phosphas,,,,,,,,
In use,1006,Disopyramide,Disopyramidum,,,,,,,,
In use,1007,Dithranol,Dithranolum,Dithranol,Rhodia Limited Watford GB,R1-CEP 1996-072 - Rev 01,Chemical,Expired,30/11/2004,02/02/2008,30/11/2004
In use,1007,Dithranol,Dithranolum,Dithranol,SERATEC S.A.S. Courville-sur-Eure FR,CEP 2022-290 - Rev 00,Chemical,Valid,08/02/2024,,08/02/2024
In use,1007,Dithranol,Dithranolum,Dithranol,OPTIMUS DRUGS PRIVATE LIMITED Hyderabad IN,CEP 2018-032 - Rev 02,Chemical,Valid,08/10/2024,,08/10/2024
In use,1008,Domperidone maleate,Domperidoni maleas,Domperidone maleate,Janssen Pharmaceutical Ltd County Cork IE,R0-CEP 2000-095 - Rev 01,Chemical,Expired,04/11/2003,17/09/2007,26/02/2007
In use,1008,Domperidone maleate,Domperidoni maleas,Domperidone maleate,DR. REDDY'S LABORATORIES LIMITED Hyderabad IN,R1-CEP 2002-165 - Rev 02,Chemical,Withdrawn by Holder,08/10/2015,10/01/2023,08/10/2015
In use,1008,Domperidone maleate,Domperidoni maleas,Domperidone maleate,JANSSEN PHARMACEUTICA NV Beerse BE,R1-CEP 1996-084 - Rev 03,Chemical,Valid,05/09/2022,,05/09/2022
In use,1008,Domperidone maleate,Domperidoni maleas,Domperidone maleate,APITORIA PHARMA PRIVATE LIMITED Hyderabad IN,CEP 2004-099 - Rev 05,Chemical,Valid,14/11/2023,,14/11/2023
In use,1008,Domperidone maleate,Domperidoni maleas,Domperidone maleate,VASUDHA PHARMA CHEM LIMITED Hyderabad IN,CEP 2002-042 - Rev 08,Chemical,Valid,20/12/2023,,20/12/2023
In use,1008,Domperidone maleate,Domperidoni maleas,Domperidone maleate,SRI KRISHNA PHARMACEUTICALS LIMITED Hyderabad IN,CEP 2003-069 - Rev 06,Chemical,Valid,20/12/2024,,20/12/2024
In use,1008,Domperidone maleate,Domperidoni maleas,Domperidone maleate; Process II,SRI KRISHNA PHARMACEUTICALS LIMITED Hyderabad IN,CEP 2020-096 - Rev 01,Chemical,Valid,23/12/2024,,23/12/2024
In use,1009,Domperidone,Domperidonum,Domperidone,Janssen Pharmaceutical Ltd County Cork IE,R0-CEP 1999-129 - Rev 02,Chemical,Withdrawn by Holder,03/07/2003,07/01/2005,26/02/2007
In use,1009,Domperidone,Domperidonum,Domperidone,AUROBINDO PHARMA LIMITED Hyderabad IN,R0-CEP 2003-031 - Rev 01,Chemical,Expired,01/10/2004,12/12/2008,01/10/2004
In use,1009,Domperidone,Domperidonum,Domperidone,DR. REDDY'S LABORATORIES LIMITED Hyderabad IN,R1-CEP 2002-166 - Rev 04,Chemical,Withdrawn by Holder,08/10/2015,10/01/2023,08/10/2015
In use,1009,Domperidone,Domperidonum,Domperidone,JANSSEN PHARMACEUTICA NV Beerse BE,R1-CEP 1996-069 - Rev 10,Chemical,Valid,22/10/2019,,25/08/2023
In use,1009,Domperidone,Domperidonum,Domperidone,VASUDHA PHARMA CHEM LIMITED Hyderabad IN,R1-CEP 2007-203 - Rev 04,Chemical,Valid,03/09/2020,,07/02/2023
In use,1009,Domperidone,Domperidonum,Domperidone; Process II,VASUDHA PHARMA CHEM LIMITED Hyderabad IN,R0-CEP 2020-315 - Rev 01,Chemical,Valid,31/01/2023,,31/01/2023
In use,1009,Domperidone,Domperidonum,Domperidone,APITORIA PHARMA PRIVATE LIMITED Hyderabad IN,CEP 2004-096 - Rev 05,Chemical,Valid,14/11/2023,,14/11/2023
In use,1009,Domperidone,Domperidonum,Domperidone,SRI KRISHNA PHARMACEUTICALS LIMITED Hyderabad IN,CEP 1997-094 - Rev 10,Chemical,Valid,20/12/2024,,20/12/2024
In use,1009,Domperidone,Domperidonum,Domperidone; Process II,SRI KRISHNA PHARMACEUTICALS LIMITED Hyderabad IN,CEP 2022-374 - Rev 01,Chemical,Valid,20/12/2024,,20/12/2024
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin,MYLAN LABORATORIES LIMITED Hyderabad IN,R0-CEP 2009-066 - Rev 02,Chemical,Withdrawn by Holder,02/10/2014,17/03/2016,02/10/2014
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin,JINAN JINDA PHARMACEUTICAL CHEMISTRY CO.; LTD. Zhangqiu CN,R0-CEP 2011-240 - Rev 01,Chemical,Withdrawn by EDQM Failure to CEP procedure,15/01/2015,21/07/2016,15/01/2015
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin,UNIMARK REMEDIES LIMITED Mumbai IN,R1-CEP 2011-108 - Rev 01,Chemical,Suspended by Holder,23/09/2020,07/05/2024,23/09/2020
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin,F.I.S. - FABBRICA ITALIANA SINTETICI S.P.A. Montecchio Maggiore IT,R0-CEP 2019-181 - Rev 00,Chemical,Valid,29/09/2021,,22/08/2022
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystals,UNIMARK REMEDIES LIMITED Mumbai IN,R1-CEP 2014-226 - Rev 00,Chemical,Suspended by Holder,06/10/2021,07/05/2024,06/10/2021
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystals (Process-II),MANKIND PHARMA LIMITED New Delhi IN,R0-CEP 2021-371 - Rev 00,Chemical,Valid,10/12/2021,,10/12/2021
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin,MANGALAM DRUGS & ORGANICS LTD. Mumbai IN,R0-CEP 2020-202 - Rev 00,Chemical,Valid,06/10/2022,,06/10/2022
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystals,MANGALAM DRUGS & ORGANICS LTD. Mumbai IN,R0-CEP 2020-236 - Rev 00,Chemical,Valid,10/10/2022,,11/10/2022
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystals,MAITHRI DRUGS PRIVATE LIMITED Bonthapally Village IN,R0-CEP 2022-074 - Rev 00,Chemical,Valid,12/12/2022,,12/12/2022
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystals,FERMION OY Espoo FI,R0-CEP 2019-206 - Rev 02,Chemical,Valid,16/03/2023,,16/03/2023
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystal,MACLEODS PHARMACEUTICALS LIMITED Mumbai IN,R1-CEP 2016-212 - Rev 00,Chemical,Valid,14/06/2023,,14/06/2023
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystals,OMSAV PHARMA RESEARCH PRIVATE LIMITED Mumbai IN,R0-CEP 2022-051 - Rev 00,Chemical,Valid,11/07/2023,,11/07/2023
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystals,MANKIND PHARMA LIMITED New Delhi IN,CEP 2019-092 - Rev 02,Chemical,Valid,12/10/2023,,12/10/2023
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin,MAITHRI DRUGS PRIVATE LIMITED Bonthapally Village IN,CEP 2019-262 - Rev 01,Chemical,Valid,02/05/2024,,02/05/2024
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Anhydrate form-β,ALEMBIC PHARMACEUTICALS LIMITED Vadodara IN,CEP 2023-364 - Rev 00,Chemical,Valid,12/08/2024,,12/08/2024
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystals,F.I.S. - Fabbrica Italiana Sintetici S.p.A. Montecchio Maggiore IT,CEP 2019-178 - Rev 01,Chemical,Valid,09/09/2024,,09/09/2024
In use,101,Nitrofurantoin,Nitrofurantoinum,Nitrofurantoin; Macrocrystals; Anhydrate Form β,ALEMBIC PHARMACEUTICALS LIMITED Vadodara IN,CEP 2022-297 - Rev 00,Chemical,Valid,19/12/2024,,03/02/2025
In use,1010,Droperidol,Droperidolum,Droperidol,JANSSEN PHARMACEUTICA NV Beerse BE,R1-CEP 1997-062 - Rev 02,Chemical,Withdrawn by Holder,15/11/2006,23/02/2011,15/11/2006
In use,1010,Droperidol,Droperidolum,Droperidol,"Joint Stock Company ""Grindeks"" Riga LV",R1-CEP 2012-164 - Rev 02,Chemical,Valid,12/06/2020,,11/02/2022
In use,1011,Patches,Emplastra,,,,,,,,
In use,1012,Famotidine,Famotidinum,Famotidine,IPCA Laboratories Limited Mumbai IN,R1-CEP 2000-062 - Rev 04,Chemical,Valid,06/05/2013,,06/05/2013
In use,1012,Famotidine,Famotidinum,Famotidine,PHALANX LABS PRIVATE LIMITED Hyderabad IN,R0-CEP 2014-354 - Rev 00,Chemical,Withdrawn by Holder,05/10/2016,17/03/2021,30/01/2019
In use,1012,Famotidine,Famotidinum,Famotidine,SMS PHARMACEUTICALS LIMITED Hyderabad IN,R1-CEP 2009-080 - Rev 03,Chemical,Valid,16/09/2019,,30/03/2023
In use,1012,Famotidine,Famotidinum,Famotidine,ALEMBIC PHARMACEUTICALS LIMITED Vadodara IN,R1-CEP 2015-216 - Rev 00,Chemical,Valid,18/01/2022,,02/12/2024
In use,1012,Famotidine,Famotidinum,Famotidine,GEDEON RICHTER PLC Budapest HU,R1-CEP 1999-054 - Rev 03,Chemical,Valid,18/02/2022,,18/02/2022
In use,1012,Famotidine,Famotidinum,Famotidine,MSN LIFE SCIENCES PRIVATE LIMITED Bhiknoor Village IN,R0-CEP 2021-134 - Rev 00,Chemical,Valid,03/01/2023,,03/01/2023
In use,1012,Famotidine,Famotidinum,Famotidine; Unit-VII,SMS PHARMACEUTICALS LIMITED Hyderabad IN,R0-CEP 2022-480 - Rev 00,Chemical,Valid,04/04/2023,,04/04/2023
In use,1012,Famotidine,Famotidinum,Famotidine,AZICO BIOPHORE INDIA PRIVATE LIMITED Hyderabad IN,R0-CEP 2021-094 - Rev 01,Chemical,Valid,26/05/2023,,26/05/2023
In use,1012,Famotidine,Famotidinum,Famotidine,DR. REDDY'S LABORATORIES LIMITED Hyderabad IN,R1-CEP 2009-161 - Rev 01,Chemical,Valid,31/05/2023,,31/05/2023
In use,1012,Famotidine,Famotidinum,Famotidine,RAKSHIT PHARMACEUTICALS LIMITED Anakapalli IN,R0-CEP 2021-503 - Rev 00,Chemical,Valid,03/07/2023,,03/07/2023
In use,1012,Famotidine,Famotidinum,Famotidine,ORCHEV PHARMA PRIVATE LIMITED Rajkot IN,R0-CEP 2022-307 - Rev 00,Chemical,Valid,30/08/2023,,30/08/2023
In use,1012,Famotidine,Famotidinum,Famotidine; FM3 Process,IPCA LABORATORIES LIMITED Mumbai IN,CEP 2022-213 - Rev 01,Chemical,Valid,19/10/2023,,20/10/2023
In use,1012,Famotidine,Famotidinum,Famotidine,NAKODA CHEMICALS LIMITED Hyderabad IN,CEP 2017-307 - Rev 03,Chemical,Valid,13/05/2024,,13/05/2024
In use,1012,Famotidine,Famotidinum,Famotidine,SULESHVARI PHARMA Ankleshwar IN,CEP 2022-350 - Rev 00,Chemical,Valid,13/09/2024,,16/09/2024
In use,1012,Famotidine,Famotidinum,Famotidine,HETERO DRUGS LIMITED Hyderabad IN,CEP 2021-367 - Rev 01,Chemical,Valid,02/10/2024,,03/10/2024
In use,1012,Famotidine,Famotidinum,Famotidine; Form B,APITORIA PHARMA PRIVATE LIMITED Hyderabad IN,CEP 2023-307 - Rev 00,Chemical,Valid,26/02/2025,,26/02/2025
In use,1012,Famotidine,Famotidinum,Famotidine,Union Quimico Farmaceutica; S.A. (Uquifa S.A.) Barcelona ES,CEP 2021-182 - Rev 01,Chemical,Valid,25/03/2025,,25/03/2025
In use,1013,Felodipine,Felodipinum,Felodipine,Wockhardt Limited Ankleshwar IN,R1-CEP 2000-105 - Rev 01,Chemical,Withdrawn by Holder,23/10/2007,19/07/2023,24/10/2007
In use,1013,Felodipine,Felodipinum,Felodipine,Korea United Pharm. Inc. Seoul KR,R0-CEP 2006-099 - Rev 00,Chemical,Expired,19/12/2007,22/01/2013,20/12/2007
In use,1013,Felodipine,Felodipinum,Felodipine,Medichem; S.A. Celrà ES,R1-CEP 2004-213 - Rev 01,Chemical,Valid,18/05/2012,,10/03/2023
In use,1013,Felodipine,Felodipinum,Felodipine,Zhejiang Supor Pharmaceuticals Co.; Ltd. Shaoxing CN,R1-CEP 2011-175 - Rev 01,Chemical,Valid,04/12/2020,,03/01/2025
In use,1013,Felodipine,Felodipinum,Felodipine,EVERLIGHT CHEMICAL INDUSTRIAL CORPORATION Taipei TW,R1-CEP 2004-257 - Rev 02,Chemical,Valid,04/04/2023,,10/03/2025
In use,1013,Felodipine,Felodipinum,Felodipine,CIPLA LIMITED Mumbai IN,R1-CEP 1999-022 - Rev 05,Chemical,Valid,06/04/2023,,06/04/2023
In use,1013,Felodipine,Felodipinum,Felodipine,ALEMBIC PHARMACEUTICALS LIMITED Vadodara IN,R1-CEP 2013-307 - Rev 02,Chemical,Valid,09/08/2023,,09/08/2023
In use,1013,Felodipine,Felodipinum,Felodipine,APITORIA PHARMA PRIVATE LIMITED Hyderabad IN,CEP 2007-267 - Rev 02,Chemical,Valid,16/01/2024,,16/01/2024
In use,1013,Felodipine,Felodipinum,Felodipine,ESTEVE QUIMICA S.A. Barcelona ES,CEP 1996-090 - Rev 06,Chemical,Valid,15/10/2024,,15/10/2024
In use,1014,Fluphenazine decanoate,Fluphenazini decanoas,Fluphenazine Decanoate,MSN LIFE SCIENCES PRIVATE LIMITED Chandampet Village IN,CEP 2021-062 - Rev 01,Chemical,Valid,30/10/2024,,30/10/2024
Suppressed from the Ph. Eur.,1015,Fluphenazine enantate,Fluphenazini enantas,,,,,,,,
In use,1016,Human hepatitis B immunoglobulin for intravenous administration,Immunoglobulinum humanum hepatitidis B ad usum intravenosum,,,,,,,,
In use,1017,Isoconazole nitrate,Isoconazoli nitras,Isoconazole nitrate,JANSSEN PHARMACEUTICA NV Beerse BE,R1-CEP 1999-080 - Rev 01,Chemical,Withdrawn by Holder,20/07/2010,26/03/2021,20/07/2010
In use,1017,Isoconazole nitrate,Isoconazoli nitras,Isoconazole nitrate; Standard and micronised,Erregierre S.p.A. San Paolo D'Argon IT,CEP 2014-282 - Rev 01,Chemical,Valid,18/10/2023,,06/12/2024
In use,1018,Isoconazole,Isoconazolum,Isoconazole,JANSSEN PHARMACEUTICA NV Beerse BE,R1-CEP 1999-079 - Rev 02,Chemical,Withdrawn by Holder,20/07/2010,26/03/2021,20/07/2010
In use,1018,Isoconazole,Isoconazolum,Isoconazole,Erregierre S.p.A. San Paolo D'Argon IT,R0-CEP 2015-210 - Rev 00,Chemical,Withdrawn by Holder,19/08/2016,28/01/2020,19/08/2016
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin,F Hoffmann-La Roche Ltd. Basel CH,R1-CEP 2002-034 - Rev 01,Chemical,Withdrawn by Holder,25/11/2008,24/05/2018,23/02/2011
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin,IPCA LABORATORIES LIMITED Mumbai IN,R0-CEP 2009-203 - Rev 00,Chemical,Withdrawn by Holder,26/11/2010,26/05/2015,29/11/2010
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin,CHONGQING HUAPONT PHARMACEUTICAL CO.; LTD. Chongqing CN,R1-CEP 2009-330 - Rev 00,Chemical,Valid,13/10/2016,,11/12/2020
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin,SHANGHAI NEW HUALIAN PHARMACEUTICAL CO.; LTD. Shanghai CN,R1-CEP 2008-231 - Rev 02,Chemical,Valid,22/06/2020,,22/06/2020
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin,HAS HEALTHCARE ADVANCED SYNTHESIS SA Biasca CH,R1-CEP 2004-281 - Rev 01,Chemical,Valid,01/03/2022,,01/03/2022
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin,OLON S.P.A. Rodano IT,R1-CEP 1996-082 - Rev 12,Chemical,Valid,12/04/2022,,07/02/2025
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH Minden DE,R1-CEP 1999-068 - Rev 07,Chemical,Valid,10/03/2023,,10/03/2023
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin,SUN PHARMACEUTICAL INDUSTRIES LIMITED Mumbai IN,R1-CEP 2002-011 - Rev 06,Chemical,Valid,25/05/2023,,26/01/2024
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin; Process 2,CHONGQING HUAPONT PHARMACEUTICAL CO.; LTD. Chongqing CN,CEP 2018-219 - Rev 01,Chemical,Valid,06/12/2023,,06/12/2023
In use,1019,Isotretinoin,Isotretinoinum,Isotretinoin,HETERO DRUGS LIMITED Hyderabad IN,CEP 2022-205 - Rev 01,Chemical,Valid,31/07/2024,,31/07/2024
In use,102,Papaverine hydrochloride,Papaverini hydrochloridum,,,,,,,,
In use,1020,Ketamine hydrochloride,Ketamini hydrochloridum,Ketamine hydrochloride,Fine Organics LIMITED Middlesbrough GB,R1-CEP 1998-125 - Rev 04,Chemical,Valid,09/02/2012,,11/10/2012
In use,1020,Ketamine hydrochloride,Ketamini hydrochloridum,Ketamine hydrochloride,HARMAN FINOCHEM LIMITED Mumbai IN,R1-CEP 2007-362 - Rev 01,Chemical,Valid,27/11/2014,,22/06/2015
In use,1020,Ketamine hydrochloride,Ketamini hydrochloridum,Ketamine hydrochloride,AREVIPHARMA GMBH Radebeul DE,R1-CEP 2015-037 - Rev 01,Chemical,Valid,08/02/2023,,08/02/2023
In use,1020,Ketamine hydrochloride,Ketamini hydrochloridum,Ketamine hydrochloride,MAITHRI DRUGS PRIVATE LIMITED Bonthapally Village IN,CEP 2022-157 - Rev 00,Chemical,Valid,04/03/2024,,04/03/2024
In use,1020,Ketamine hydrochloride,Ketamini hydrochloridum,Ketamine hydrochloride,CU Chemie Uetikon GmbH Lahr DE,CEP 2005-281 - Rev 02,Chemical,Valid,11/03/2024,,11/03/2024
In use,1020,Ketamine hydrochloride,Ketamini hydrochloridum,Ketamine hydrochloride,SUPRIYA LIFESCIENCE LTD. Mumbai IN,CEP 2016-194 - Rev 01,Chemical,Valid,07/05/2024,,07/05/2024
In use,1027,Methionine,Methioninum,Methionine,AMINO GMBH Frellstedt DE,R1-CEP 2015-005 - Rev 00,Chemical,Valid,07/12/2021,,07/12/2021
In use,1027,Methionine,Methioninum,Methionine,SEKISUI MEDICAL CO.; LTD. Tokyo JP,R1-CEP 1999-136 - Rev 08,Chemical,Valid,17/03/2022,,17/03/2022
In use,1027,Methionine,Methioninum,Methionine,EVONIK REXIM (NANNING) PHARMACEUTICAL CO.; LTD. Nanning CN,R1-CEP 2005-190 - Rev 04,Chemical,Valid,24/08/2023,,24/08/2023
In use,1028,Metoprolol tartrate,Metoprololi tartras,Metoprolol tartrate,Recordati Espana SL Beniel ES,R0-CEP 2001-217 - Rev 00,Chemical,Withdrawn by Holder,19/10/2004,11/07/2008,19/10/2004
In use,1028,Metoprolol tartrate,Metoprololi tartras,Metoprolol tartrate,CTX LIFESCIENCES PVT. LIMITED Surat IN,R0-CEP 2008-242 - Rev 00,Chemical,Withdrawn by Holder,15/10/2009,12/08/2011,25/07/2011
In use,1028,Metoprolol tartrate,Metoprololi tartras,Metoprolol tartrate,ESTEVE QUIMICA S.A. Barcelona ES,R1-CEP 2000-402 - Rev 02,Chemical,Withdrawn by Holder,13/02/2012,17/12/2018,13/02/2012
In use,1028,Metoprolol tartrate,Metoprololi tartras,Metoprolol tartrate,POLYDRUG LABORATORIES PVT. LTD. Mumbai IN,R0-CEP 2009-152 - Rev 01,Chemical,Withdrawn by EDQM Failure to CEP procedure,21/02/2012,26/10/2016,28/10/2016
