ceapp_id_supplier,ceapp_id_supplier_site,ceapp_supplier_name,ceapp_supplier_site_name
2223,3389,Remondis,Remondis SE & Co. KG
750,1601,FerroPharma Chemicals,FerroPharma Chemicals Ltd.
150,338,Seqens,SEQENS Limay
468,1200,NR Oils,NR Oils - Plot No 234
1384,2325,SHL Medical,Scandinavian Health Ltd
391,1025,FLAMMA,Flamma SpA - Site Chignolo
1115,2015,LSNE-León,LSNE-León S.L.U.
569,1402,Körber Pharma,Werum IT Solutions GmbH
2069,3192,Mario Pilato Blat,Mario Pilato Blat S.A
795,1650,Calumet,"Calumet Refining, LLC"
2009,3115,Athena Pharmaceutiques,Athena-Inpharmasci SAS
1030,1916,Delphon,UltraTape & Labels
2079,3206,Maxell,Maxell Improved Solutions - Site Telford
2042,3189,Mane Kancor Ingredients,Mane Kancor Ingredients Pvt. Ltd.
123,272,Eurofins,Eurofins Leiden
499,1269,Quotient Science,Quotient Science Limited - Site Reading
2527,3758,Anwita Drugs and Chemicals,Anwita Drugs and Chemicals Pvt. Ltd.
639,1483,Danisco,Danisco France SAS
501,1274,Rakshit Drugs,Rakshit Pharmaceuticals Ltd - Plot No. 68/A
2085,3214,Medezin,Medezin Sp. z o. o.
111,227,DSM Pharmaceuticals,DSM Nutritional Products GmbH
727,1577,Evyap Oleo,Evyap Sabun Malaysia Sdn. Bhd.
1881,2965,Oriental Aromatics,Oriental Aromatics Ltd. - Site Bareilly
597,1439,VisMederi,VisMederi srl
1906,2992,Pharma Aldenhoven,Pharma Aldenhoven GmbH & Co. KG
262,560,DHL,DHL Global Forwarding GmbH - Site Leipzig
113,240,Minakem,Minakem High Potent NV
1469,2426,Kumar Organic Products,Kumar Organic Products Ltd.
445,1146,Losan Pharma,Losan Pharma GmbH - Site Neuenburg
253,3672,Asahi Kasei Corporation,Asahi Kasei Medical - Tokyo
34,934,Bormioli Pharma,Bormioli Pharma S.p.A. - Site Parma
733,1584,Express Group,Express Trailers Ltd.
1616,2564,MEWA Textil-Service,MEWA Textil-Service AG & Co. Deutschland OHG
1105,2005,Livlina,Livlina NV
2108,3315,Novasyn Organics,Novasyn Organics Pvt.Ltd
1136,2052,Plasti-Pac Zürich,Plasti-Pac Zürich AG
872,1729,BTC Europe,BTC Europe GmbH
899,1766,Gandhar Oil Refinery India,Gandhar Oil Refinery India Ltd
1424,2372,Sichuan Tongsheng,Sichuan Tongsheng Biopharmaceutical Co. Ltd.
2335,3625,Thurs Organics,Thurs Organics Pvt. Ltd.
2507,3726,Magle Chemoswed,Magle Chemoswed AB
189,422,Evonik,Evonik Industries AG
279,678,Symed Laboratories,Symed Laboratories Ltd. - Unit I
1967,3075,Geo Chem Laboratories,Geo Chem Laboratories (Rajkot) Pvt. Ltd
1320,2256,Jiangsu Runde Medical Materials,"Jiangsu Runde Medical Materials Co.,Ltd."
1223,2145,Grupa AWW,GRUPA AWW Spółka z ograniczoną odpowiedzialnością
313,821,Cambrex,Cambrex Profarmaco Milano Srl - Site Paullo
2158,3266,DFB Pharmaceuticals,Phyton Biotech LLC
263,612,Drug Plastics and Glass Co,"Drug Plastics and Glass Co., Inc. - Site Valley City"
1754,2808,Chemport,Chemport Inc
1459,2414,Kögel Filter,KÖGEL Filter GmbH
321,858,All4Labels,All4Labels Hamburg GmbH & Co. KG - Site Trittau
1563,2539,Zhejiang Zhenyuan Pharmaceutical,"Zhejiang Zhenyuan Pharmaceutical Co.,LtdZhejiang Zhenyuan Pharmaceutical Co.,Ltd"
452,1158,Marken,Marken USA - Site Malvern
3,838,ACG,ACG Europe d.o.o.
104,208,Divi's,Divi's Laboratories Limited (Unit 2)
1948,3054,Roquette,Itacel Farmoquimica Ltda
60,151,Hubert De Backer NV,Hubert De Backer
1110,2010,Lomapharm,Lomapharm GmbH
87,188,Konapharma,Konapharma Ag
223,2623,Tamro,Tamro Eesti OÜ
2460,3532,Smurfit Westrock,Smurfit WestRock Plc - Site Wrexham
2662,3893,Linde Gas Schweiz,Linde Gas Schweiz
571,1404,Westfalen,Westfalen AG - Site Hörstel
157,309,Polpharma Group,"Polpharma, S.A"
397,3000,GBA Group,Pharmacelsus GmbH
1690,2731,Amtex Corp,Amtex Colombia S.A
2302,3209,Openteam,Openteam SAS
529,1333,Sumitomo Chem,"Sumitomo Chemical Co., Ltd"
2255,3384,RSSL,Reading Scientific Services Ltd
1809,2869,CBL Patras,CBL Patras S.A.
2297,3364,QualiControle,QualiControle France
586,1424,Yonsung Fine Chemicals,"Yonsung Fine Chemicals Co., LTD"
1899,2980,Peptido,Peptido GmbH
3,6,ACG,ACG Associated Capsules PvT Ltd - Site Maharashtra
1356,2293,Nanhai Beisha Pharmaceutical,"Nanhai Beisha Pharmaceutical Co.,Ltd."
2112,3300,NICHIRIN Chemical,Nichirin Chemical Industries
1583,2608,Synthesia,Synthesia A.S.
1933,3005,Docuchem,Docuchem SLU
413,1082,Intas Pharmaceuticals Limited,Intas Pharmaceuticals Limited - Plot 5-14
484,1234,Gebro Pharma,Gebro Pharma GmbH
426,1119,Kimberly-Clark,Kimberly-Clark Professional BV
676,1527,Ecsa Group,Ecsa Chemicals AG
306,1756,DFE Pharma,FrieslandCampina DMV B.V.
1558,2534,Zhejiang Tiantai Pharmaceutical,"Zhejiang Tiantai Pharmaceutical Co., Ltd - Site 2"
25,75,Aurorium Group,Aurorium Austria GmbH
268,624,West Pharmaceutical Services,West Pharmaceutical Services Singapore Pte Ltd.
255,513,BASF,BASF Corporation -  Site Geismar
493,1254,Meiji Seika,Meiji Seika Pharma Co.Ltd
1501,2463,TSI Group,TSI Health Sciences Co. Ltd - Site Jiangsu
1916,2921,Dab-O-Matic Corporation,Dab-O-Matic Corp. - Site Mount Vernon
1051,1941,Transalonso Valsaín,"Transalonso Valsaín, SL"
784,1638,Amartara Private Limited,Amartara Private Limited
444,1143,Lonza Group,Lonza AG - Site Basel
1166,2089,Chongqing DaXin Pharmaceutical,Chongqing DaXin Pharmaceutical Co. Ltd.
1997,3103,ImmunoEye,ImmunoEye SRL
1257,2204,Huvepharma,Huvepharma Italy SRL - Site Garessio
1351,2288,Luoyang FuDau Biotechnology,"Luoyang FuDau Biotechnology Co., Ltd."
2267,3453,Saneca Pharmaceuticals,Saneca Pharmaceuticals AS
2068,3187,Makechange,Makechange Lda.
2147,3231,Pharmaron,Pharmaron Manufacturing Services (UK) Ltd. - Site Cramlington
2211,3396,Rishi Chemical,Rishi Chemical Works Pvt Ltd
1516,2480,Xintai Jiahe Biotech,"Xintai Jiahe Biotech Co., Ltd."
56,134,Clariant,Clariant Chemicals Huizhou Ltd.
1121,2027,Paesel & Lorei,Paesel + Lorei GmbH & Co. KG
310,804,Dachser,Dachser GmbH & Co. KG - Site Köln
68,1087,Interquim,Interquim Spain - Site Sant Cugat del Vallès
2248,3418,Pioneer Group,Roylance Stability Storage Limited
2353,3509,Shree Ganesh Remedies,Shree Ganesh Remedies Pvt Ltd
2557,3795,Global Inhalation Equipment,Global Inhalation Equipment Ltd - Site Newquay
25,1828,Aurorium Group,Aurorium US - Site Midlothian
186,1919,Unichem Laboratories,Unichem Laboratories Ltd. - Site Goa
348,912,Corden Pharma,Corden Pharma Caponago S.p.A.
2312,3475,Schülke & Mayr,Schülke & Mayr GmbH
421,1104,JRS Pharma,JRS Marine Products Landerneau SAS
448,1882,Veranova Group,"Veranova, L.P. - Site West Deptford"
556,1387,Zimmo Trading,Zimmo Trading Co. Ltd.
262,2943,DHL,DHL Global Forwarding UK Limited
1708,2751,API Co,"API Co., Ltd."
812,1668,Behestan Pakhsh,Behestan Pakhsh Co.
2486,3679,Weener Plastic Packaging Group,Weener Plastik
370,968,Dow Chemical,Dow Deutschland Anlagengesellschaft mbH
330,877,Gruppo Angelini,Aziende Chimiche Riunite Angelini Francesco S.p.A.
2061,3172,Mac-Chem Products,Mac-Chem Products (India) Pvt. Ltd.
867,1724,BCF Life Sciences,Bretagne Chimie Fine SAS
1638,2640,Survival Technologies,Survival Technologies Private Limited
1353,2374,Cosmos Chem Group,"Sinobest Cosmeceutical Co., Ltd."
62,154,Iclos Uruguay,Iclos
51,117,Chemische Fabrik Budenheim,Chemische Fabrik Budenheim KG
894,1761,Galbraith Laboratories,"Galbraith Laboratories, Inc"
149,346,SGS Pharma,SGS North America Inc - Site Lincolnshire
264,572,DSV,DSV Air & Sea Germany GmbH - Site Berlin
691,1542,Embio Limited,Embio Ltd.
292,737,Oximio,Oximio Turkey
2279,3438,Sajjan India,Sajjan India Ltd
711,1562,ETPA Packaging,Etpa Packaging S.A
2503,3721,Resins Allied,Resins and Allied Products Pvt. Ltd.
93,2852,Dr. Reddy’s Laboratories,"Industrias Químicas Falcon de México, S.A. de C.V."
233,412,UQUIFA,"UQUIFA México, S.A. de C.V."
622,1463,AG Logistics,AG Logistics Services B.V.
403,1062,HEC Pharm,HEC Pharm Co. Ltd. - Site I
66,183,Indena,Indena Italy S.p.A. - Site Milano
2423,3615,TerSera Therapeutics,TerSera Therapeutics LLC
1717,2763,Ardagh Group,Ardagh Glass GmbH
4,11,ACS Dobfar,ACS Dobfar S.p.A. - Site Verona
296,762,Medreich,Medreich India - Unit 8
2407,3591,Struve Labs,Struve Labs Inc
20,48,Ashland,Ashland Inc. ISP Columbus
1374,2315,PharmaBlock,"PharmaBlock Pharmaceuticals (Zhejiang) Co., Ltd"
2143,3197,Kamal Sons,Kamal Sons Pvt Ltd
286,705,Siegfried,Siegfried Malta Ltd
2146,3221,PharmaPhysic,PharmaPhysic - Site Chevilly La Rue
53,119,Insud Pharma,Chemo Biosynthesis S.R.L.
304,789,Kuehne + Nagel,Kühne + Nagel KG - Site Bremen
418,1099,IPCA Laboratories,IPCA Laboratories Ltd. - Site Pithampur
1276,2207,Hebei Shengxue Dacheng Pharmaceutical,Hebei Shengxue Dacheng Pharmaceutical Co.Ltd - Unit 50
1132,2042,PCE Instruments,PCE Instruments France
1181,2106,Fujian WeLike Pharma,Fujian WeLike Pharma Co. Ltd.
2295,3369,Kühne + Nagel,QuickSTAT UK
906,1773,Gebrüder Becker,Gebrüder Becker GmbH
35,92,BA Sciences,Boston Analytical
1978,3083,IAF-Radioökologie,IAF Radioökologie GmbH
1857,2931,Delta-Biotech,Delta-Biotech SA
723,1574,EverZinc Group,EverZinc Nederland B.V.
144,301,Pasteur,Pasteur Filiala Filipesti S.A.
1377,2318,Providence Enterprise,Providence Enterprise Limited - Units 5-4
1696,2739,The Andhra Sugars Limited,Andhra Sugars Limited
374,3022,Egis Pharmaceuticals,EGIS Pharmaceuticals - Site Budapest
959,1830,Autajon Group,Autajon Labels Rouen
93,220,Dr. Reddy’s Laboratories,Reddy's Lab - Loan License Site Parawada
838,1695,Bioiberica,Bioiberica S.A.U.
1401,2345,Shandong Tianli Pharmaceutical,Shandong Tianli Pharmaceutical Co. Ltd.
74,166,Curia Global,Curia France
409,1072,Indoco Remedies,Indoco Remedies Ltd. - Site Verna
1213,2143,Green Olive Royal Company,Green Olive Royal Company Ghana Ltd
1190,2117,HaiNan JY Bio-Tech,HaiNan JY Bio-Tech Ltd
1052,1942,Transcendia,"Transcendia, Inc"
806,1662,Cari-Med Group,Cari-Med Group Ltd
2001,3107,InnoLatex,InnoLatex Sdn Bhd
149,2669,SGS Pharma,SGS France SA - Site Saint-Étienne-du-Rouvray
1787,2846,Inden Pharma,Inden Pharma Packaging S.L.
1805,2866,Casa da Química,Casa da Química - Site Brasilia
266,615,Neuland Laboratories,Neuland Laboratories Ltd - Unit 2
480,1226,Abdi İbrahim,Abdi İbrahim İlaç Sanayi ve Tic A.Ş. - Site III
1998,3104,Imprenta Edicano,"Imprenta Edicano, S.A."
1219,2150,Gustav Hees,Gustav Heess GmbH
2371,3541,Sonneborn,"Sonneborn, LLC"
229,405,tracekey solutions,tracekey solutions GmbH
1334,2271,Jiangyin TSI Pharmaceutical,"Jiangyin TSI Pharmaceutical Co., Ltd."
253,496,Asahi Kasei Corporation,Asahi Kasei Corporation -  Site Nobeoka
260,540,CCL Label,CCL Label A/S
208,439,Gattefossé,Gattefossé SAS
1533,2500,Zhejiang Medicine,"Zhejiang Changhai Pharmaceuticals Co., Ltd"
116,1163,Merck,MilliporeSigma - Site Massachusetts
953,1823,Tecnimede,Atlantic Pharma S.A.
124,257,"Essencia, Aetherische Oele","Essencia, Aetherische Oele Ag"
1863,2938,Dexcel Pharma,Dexcel Pharma Technologies Ltd.
1835,2894,Cosmoquimica,Cosmoquímica - Sita Barueri
201,2022,Nipro,Nipro PharmaPackaging Croatia
1530,2497,Zhangjiajie Jiurui Biology & Chemistry,"Zhangjiajie Jiurui Biology & Chemistry Co., Ltd."
548,1372,Zuellig Pharma,Zuellig Pharma Korea Ltd.
260,543,CCL Label,CCL Label Solutions GmbH
192,429,Farmak,Farmak FDF
1485,2446,Medicris Group,Medicris Group SRL
1316,2251,Jiangsu Jiafu Pharmaceutical,"Jiangsu Jiafu Pharmaceutical Co., Ltd"
459,1180,Natco Pharma Limited,Natco Pharma Limited - Formulations Facility
1742,2793,JH Bertrand,Bertrand Clinical Label - Site New York
485,1237,Graphic Packaging International,GPI Munich GmbH - Site Miesbach
1756,2810,Chemtrade Logistics,"Chemtrade Solutions, US LLC"
251,486,Aarti Drugs Limited,"Aarti Pharmalabs Limited - Plot E-50, 50/1 and 59/1"
460,1181,Neogen Chemicals,Neogen Chemicals Limited - Site Vadodara
446,1147,Lubrizol Advanced Materials,Lubrizol Advanced Materials Europe B.V.B.A.
1949,3057,ItalProtec,Italprotec Industries - Site Cavenago di Brianza
930,1799,Hager Papprint,Hager Papprint GmbH
326,869,Apotex Pharmachem,Apotex Pharmachem Inc - Site Signet Campus
14,32,Amoli API Organics,Amoli Organics Private Ltd.
294,743,Mylan Laboratories,Mylan Hungary Kft.
1620,2560,Mesa Laboratories,Mesa Laboratories - Site Bozeman
540,1356,Torrent Group,Torrent Pharmaceuticals Limited - Site Thanam Village
263,566,Drug Plastics and Glass Co,"Drug Plastics and Glass Co., Inc. - Site Kittanning"
116,236,Merck,Merck Millipore S.A.S.
212,369,Specialty Minerals Lifford,Specialty Minerals Lifford
223,2617,Tamro,Tamro AB - Site Kungens Kurva
1146,2063,Polymer Chemistry Innovations,"Polymer Chemistry Innovations, Inc."
290,726,Sartorius Stedim,Sartorius Stedim Inc. - Site Bohemia
1317,2252,Jiangsu Jubang Pharmaceutical,"Jiangsu Jubang Pharmaceutical Co., Ltd."
2212,3365,Quality Services International,Quality Services International GmbH
980,3168,LyondellBasell Group,Lyondell Basell Industries Netherlands
539,3299,Tjoapack,Tjoapack US - Site Clinton
22,64,Berry Global,Berry-Bprex Plastic Packaging de México S.A. de C.V.
715,1566,Petrone Group,Euromed Pharma Services SRL
1569,2624,Tao Salud,"Tao Salud, C.A."
257,522,Brenntag,Brenntag GmbH - Site Hamburg
2213,3368,QbD Group,Quercus Labo BV
329,876,Aspen Pharmacare,Aspen Oss B.V. - Moleneind site
120,246,Moehs,Moehs Bcn S.L
369,965,Douglas Pharma Manufacturing,Douglas Manufacturing Ltd.
503,1280,RENOLIT,RENOLIT Brightwood Pharm Med Consumable (BJ) Ltd
147,305,Pharmadox Healthcare,Pharmadox Healthcare Ltd.
314,822,Aptar,Aptar France - Site Granville
1474,2437,Laropharm,Laropharm SRL
937,1807,HAPILA,HAPILA GmbH
255,509,BASF,BASF Personal Care and Nutrition GmbH
289,715,DB Schenker,Schenker France SAS
1656,2682,Titan Laboratories,Titan Laboratories
2660,3891,Atag spa,Atag spa
2177,3332,Procaps Group,Procaps Colombia SA
312,816,Cargill,Cargill SLU
1,1,3V Sigma,3V Sigma S.p.A.
293,742,Novartis,Novartis Ringaskiddy Ltd
845,3662,Biophore India,Biophore India Pharmaceuticals Pvt.Ltd. - Telangana
399,3806,Givaudan,Givaudan Singapore Pte Ltd
1040,1930,United Drug,United Drug Distributors Ireland Limited
1839,2898,Courbon,Courbon S.A.S.
2098,3274,Nanoform,Nanoform Finland Oyj
418,1098,IPCA Laboratories,IPCA Laboratories Ltd. - Site Ratlam
1664,2691,Towa Pharmaceuticals,Towa Pharmaceuticals Europe SL
180,354,Shri Vinayak Chemex,SHRI VINAYAK CHEMEX (I) PVT LTD
2318,3503,Sharon Bio-Medicine,Sharon Bio-Medicine Ltd
434,1130,Laboratorios Farmalán,"Laboratorios Farmalán, S.A."
335,886,Biocon Limited,Biocon Limited - Site Bangalore
2397,3577,Sterelin Medical & Diagnostics,Sterelin Medical & Diagnostics Ltd
681,1634,Aluflexpack,Aluflexpack Novi d.o.o.
54,130,Cipla,Cipla Verna - Unit IV
399,1050,Givaudan,Givaudan Deutschland GmbH
1140,2057,PolakPack,PolakPack - Site Ljubljana
1535,2502,Zhejiang Charioteer Pharmaceutical,"Zhejiang Charioteer Pharmaceutical Co., Ltd"
694,1545,Emery Oleochemicals,Emery Oleochemicals Germany GmbH
1654,2680,TNM,Tiskarna Novo Mesto d.o.o
681,1532,Aluflexpack,Eliopack S.A.S
2265,3455,Sanochemia,Sanochemia Pharmazeutika GmbH
2312,3684,Schülke & Mayr,Bioxal SA
2365,3529,Skillpharma,Skillpharma S.r.l.
2571,3814,Asence Pharma,Asence Pharma Pvt. Ltd.
2639,3864,"Zhejiang Excel Pharmaceutical Co., Ltd",Zhejiang Excel Pharmaceutical
185,2648,Tereos,"Tereos TTD, a. s. - Site Kolín"
1199,2126,Hebei Jiheng Pharmaceutical,"Hebei Jiheng Pharmaceutical Co., Ltd"
2565,3807,Cosmo Italia,Cosmo S.p.A.
689,1540,Emballator Tectubes,Emballator Tectubes Sweden AB
21,55,Teva API,Sicor SRL - Site Villannterio
1893,3086,Osterreichische Ichthyol Gesellschaft,Ichthyol Gesellschaft Cordes Hermanni & Co. GmbH & Co. KG
146,304,Humanis Life,Humanis Sağlık Anonim Şirketi - Site Tekirdağ
141,2655,PharmaZell,PharmaZell India Private Limited - Site Parawada
289,714,DB Schenker,Schenker Deutschland AG
944,1814,Grupo Adium,"Asofarma de México, S.A. de C.V."
93,214,Dr. Reddy’s Laboratories,Dr. Reddy's Laboratories Ltd. - Unit 6
301,773,Livzon Group,"Livzon Group Ningxia Pharmaceutical Co., Ltd."
2654,3885,Canea,Canea Partner Group
589,1430,Nitta Gelatin,Vyse Gelatin Company
1116,2016,LTL Pharma,LTL Pharma Co. Ltd.
1951,3060,Jaco Dr. Jaeniche,Jaco Dr. Jaeniche GmbH & Co. KG
1986,3092,IDBS,IDBS Limited - Site Woking Surrey
306,795,DFE Pharma,DFE Pharma BV - Site Foxhol
123,273,Eurofins,"Eurofins BioPharma Product Testing Columbia, Inc."
2356,3516,Silgan Dispensing Systems,Silgan Dispensing Systems Alkmaar B.V.
1286,2220,Huayi Pharmaceuticals,"Huayi Pharmaceuticals (Anhui) Co., Ltd."
315,837,Ajinomoto,Ajinomoto Kyushu - Site Saga
1249,2203,Huttenlocher,Huttenlocher GmbH
1533,2526,Zhejiang Medicine,"Zhejiang Medicine Co., Ltd"
2632,3855,Hansoh Pharma,Hansoh Pharma
2087,3225,Medi-Fill,"Medi-Fill Mixing, Filling and Packing BV"
1299,2235,Hunan KYF Pharmaceutical,Hunan KYF Pharmaceutcal Co. Ltd
103,204,Lotus Pharmaceutical,Lotus Pharmaceutical Co. Ltd
110,226,MEGGLE,MEGGLE GmbH & Co. KG
269,641,World Courier,World Courier
2493,3699,Emotechnic,Emotechnic
1688,2820,CFM Group,Clarochem Ireland Ltd. .
2568,3810,AFP Antiseptica Forschungs- und Produktionsgesellschaft,AFP Antiseptica Forschungs- und Produktionsgesellschaft mbH - Site Lüneburg
263,567,Drug Plastics and Glass Co,"Drug Plastics and Glass Co., Inc. - Site Spartanburg"
1492,2453,Medipal,Medipal LLC
1793,2854,INFA,INFA GmbH
2016,3123,Otsuka Pharmaceutical Company,"Interpharma Praha, a.s."
991,1867,Avery Chemical Nantong,"Avery Chemical (Nantong) Co., Ltd."
85,186,Klosterfrau,Klosterfrau Berlin GmbH
252,493,Aurobindo Pharma Limited,Apitoria Pharma Private Limited - Unit I
315,836,Ajinomoto,"Ajinomoto Health & Nutrition North America, Inc. - Site Raleigh"
1543,2510,Zhejiang Hisoar Pharm,Zhejiang Hisoar Chuannan Pharmaceuticals Co Ltd
534,1345,Aenova Holding,Swiss Caps GmbH
1968,3076,MENSHEN,Georg MENSHEN GmbH & Co. KG
332,880,bardusch-Textil,bardusch GmbH & Co. KG - Site Eisenach
152,3753,Sanofi,Winthrop Pharma Tunisie
64,156,IMCoPharma,Imcopharma A.S.
265,587,Hetero Laboratories,Hetero Labs Limited - Unit 1 (Oncology)
211,358,SMB Technology,Smb Technology S.A.
92,207,Lupin Pharmaceuticals,Lupin Limited - Site Nagpur
348,911,Corden Pharma,Corden Pharma Bergamo S.p.A.
783,1637,Alzchem Group,AlzChem AG
915,1780,mAbxience,Genhelix S.A (mAbxience León)
222,379,Swati Spentose,Swati Spentose Pvt. Ltd.
1502,2464,Vita-Solar Biotechnology,"Vita-Solar Biotechnology Co.,Ltd"
834,1691,Biofac,Biofac A/S
1410,2356,Shanghai Wonder Pharmaceutical,Shanghai Wonder Pharmaceutical Co. Ltd
1270,2181,Herbal Creations,Herbal Creations India Pvt
949,1819,Astrazeneca,Astrazeneca AB
2343,3488,Sentry BioPharma Services,Sentry BioPharma Services Inc
1816,2902,Credo Life Sciences,Credo Life Sciences Pvt. Ltd.
2264,3456,Sanova,Sanova Pharma GesmbH
448,1883,Veranova Group,"Veranova, L.P. - Site Devens"
2322,3533,SNJ Labs,SNJ Labs Pvt. Ltd
402,1061,Hayashibara,"Hayashibara Co., Ltd. - Site Okayama 2"
1850,2915,CWS Cleanrooms,CWS Cleanrooms Deutschland GmbH & Co. KG
1160,2080,Chengdu ZY Biochemical Technology,"Chengdu ZY Biochemical Technology Co., Ltd."
848,1706,Bioresine International,Bioresine International S.A.R.L.
128,285,Nemera,"Nemera Buffalo Grove, LLC."
1292,2228,Hubei Honch Pharmaceutical,"Hubei Honch Pharmaceutical Co.,Ltd"
967,1839,Axios Research,Axios Research Inc
488,1241,Hainan Poly Pharm,Hainan Poly Pharm Co. Ltd.
294,3259,Mylan Laboratories,Mylan Laboratories Limited - Unit 1
257,527,Brenntag,Brenntag SA - Tournan-en-Brie
2005,3112,Innovate,Innovate GmbH
393,1029,Fresenius Kabi,Fresenius Kabi Austria GmbH
1020,1903,Valpharma Group,Valpharma International S.p.A.
1175,2100,Fuan Pharmaceutical Group,"Fuan Pharmaceutical Group Yantai Justaware Pharmaceutical Co., Ltd."
1057,1947,Tricon Enterprises,Tricon Enterprises Pvt Ltd
1878,2959,Orchev Pharma,Orchev Pharma Pvt. Ltd
312,817,Cargill,Cargill Texturizing Solutions Deutschland GmbH & Co.KG
10,829,Amcor,Amcor Flexibles Italia S.r.l.
268,620,West Pharmaceutical Services,West Pharmaceutical Services Deutschland GmbH & Co. KG - Site Eschweiler
1876,2957,Optrical,Optrical Limited
1424,2371,Sichuan Tongsheng,"Sichuan Tongsheng Amino Acid Co., Ltd"
1047,1937,UMC Groningen,University Medical Center Groningen
2552,3791,PhytoLab,PhytoLab GmbH & Co. KG
251,480,Aarti Drugs Limited,"Aarti Drugs Limited - Plot Nr. 2902-2904, 2601-2605, 2509"
130,288,Niacet,Niacet b.v.
304,785,Kuehne + Nagel,Kuehne + Nagel Luxembourg
1265,2186,HESCO Kunststoffverarbeitung,HESCO Kunststoffverarbeitung GmbH
1889,2969,OS Expresslogistik,OS Expresslogistik GmbH & Co. KG
594,1435,Vimta Labs Limited,Vimta Labs Limited
363,950,D.O.G.,D.O.G. Leaflet GmbH & Co. KG - Site Hochheim am Main
680,1531,Eli Lilly,Eli Lilly - Site New Jersey
1991,3097,Imakon,Imakon Sp. z o.o.
1815,2900,Covalent Laboratories,Covalent Laboratories Pvt Ltd
955,1825,Hedinger,Aug. Hedinger GmbH & Co. KG
2553,3792,ILC Dover,ILC Dover Poland - Site Gliwice
54,128,Cipla,"Cipla Limited - Plot A33, A42, A2"
1379,2320,Qingdao Yutai Pharmaceutical Packaging Technology,"Qingdao Yutai Pharmaceutical Packaging Technology Co.,Ltd."
1867,2946,Oman Pharmaceutical,Oman Pharmaceutical Products Company LLC
1714,2757,AR.LA.VE.S,AR.LA.VE.S SRL - Site Treviglio
26,77,Azelis Group,Azelis Deutschland GmbH
370,966,Dow Chemical,Dow Chemical Co - Site Midland
1550,2522,Jiuzhou Pharma,"Zhejiang Jiuzhou Pharmaceutical Co.,Ltd - Site 2"
315,833,Ajinomoto,Ajinomoto do Brasil Industria e Comércio de Alimentos Ltda. - Site Sao Paolo
2534,3770,EuroPepta,EuroPepta Amino GmbH
356,927,Bachem,Bachem Swiss
