qf_supplier_id,qf_supplier_site_id,qf_supplier_name,qf_supplier_site_name,qf_supplier_site_valid_audit_count,qf_supplier_site_has_valid_audit,qf_supplier_site_audited_quality_types,qf_supplier_site_first_audit_booked,qf_supplier_site_last_expiration,qf_supplier_site_audited_requested_api,qf_supplier_site_audited_requested_product,qf_is_audit_valid
2,4,Actylis (Aceto),Aceto GmbH,1,true,GDP_DISTRIBUTION,2022-11-25,2026-02-14,,"api trader of codein, ibuprofen",true
2,4,Actylis (Aceto),Aceto GmbH,1,true,GDP_DISTRIBUTION,2022-11-25,2026-02-14,,storage and distribution of apis and excipients,true
2,4,Actylis (Aceto),Aceto GmbH,1,true,GDP_DISTRIBUTION,2022-11-25,2026-02-14,,api distribution,false
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,1001002022 butylated hydroxyanisole usp-nf/ph.eur 10131683 but.idr.anisolo n-ste (isom.prin.) 10131874 butilidrossianisolo ep,true
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,"thioglycerol (3-mercapto-1,2-propanediol)",false
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,butylated hydroxyanisole; butylated hydroxytoluene,false
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,dibasic sodium phosphate anhydrous /  sodium dihydrogen phosfate dihydrate usp/ep/bp parentex,true
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,tetraethyl orthosilicate,false
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,tert-butanol; butylhydroxytoluene (bht),true
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,butylhydroxyanisole,true
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,"citric acid, monohydrate,sodium metabisulphite",false
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,"butylated hydroxyanisole, butylated hydroxytoluene",true
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,sodium citrate,false
2,5,Actylis (Aceto),Aceto Pharma (India) PVT. LTD,1,true,GMP_EXCIPIENTS,2023-12-05,2027-03-05,,diisopropano lamine 697462,false
2,3601,Actylis (Aceto),Syntor Fine Chemicals Ltd,,,,,,,damec hcl,false
2,4289,Actylis (Aceto),Syntor Fine Chemicals Ltd. - Runcorn,,,,,,,"n,n-(diethylamino)ethyl chloride hydrochloride 65%",false
3,6,ACG,ACG Associated Capsules PvT Ltd - Site Maharashtra,2,true,GMP_EXCIPIENTS,2022-02-03,2028-07-08,,excipient manufacturer for empty caps brown/brown no. 1,true
3,6,ACG,ACG Associated Capsules PvT Ltd - Site Maharashtra,2,true,GMP_EXCIPIENTS,2022-02-03,2028-07-08,,hard gelatine capsule shells,true
3,6,ACG,ACG Associated Capsules PvT Ltd - Site Maharashtra,2,true,GMP_EXCIPIENTS,2022-02-03,2028-07-08,,bufexamac,false
3,6,ACG,ACG Associated Capsules PvT Ltd - Site Maharashtra,2,true,GMP_EXCIPIENTS,2022-02-03,2028-07-08,,hard gelatin capsule shells (acgcaps gr),true
3,6,ACG,ACG Associated Capsules PvT Ltd - Site Maharashtra,2,true,GMP_EXCIPIENTS,2022-02-03,2028-07-08,,gelatine capsules,true
3,6,ACG,ACG Associated Capsules PvT Ltd - Site Maharashtra,2,true,GMP_EXCIPIENTS,2022-02-03,2028-07-08,, gelatine capsules ,false
3,6,ACG,ACG Associated Capsules PvT Ltd - Site Maharashtra,2,true,GMP_EXCIPIENTS,2022-02-03,2028-07-08,,"tsl empty cap, without printing, size 2el / tsl empty caps (new ink s-1-277002) size 2el / co x 200 empty capsule, size 1 /  co x 100 empty capsule, size 2",false
3,7,ACG,ACG Associated Capsules PvT Ltd - Site Sindewadi,1,true,GMP_EXCIPIENTS,2024-07-02,2027-09-11,,hard gelatin capsule shells,true
3,8,ACG,ACG Associated Capsules PvT Ltd - Site Pithampur,1,true,"GMP_EXCIPIENTS, GMP_PACKAGING",2021-10-22,2025-01-06,,"size 3 capsule, white/green",false
3,8,ACG,ACG Associated Capsules PvT Ltd - Site Pithampur,1,true,"GMP_EXCIPIENTS, GMP_PACKAGING",2021-10-22,2025-01-06,,vegane capsules,true
3,9,ACG,ACG Inspection System Private Limited,1,true,GAMP_SOFTWARE,2024-03-29,2027-05-17,,serialization related activity,true
3,838,ACG,ACG Europe d.o.o.,1,true,GMP_EXCIPIENTS,2023-09-01,2026-11-14,,hard gelatin caps,true
3,838,ACG,ACG Europe d.o.o.,1,true,GMP_EXCIPIENTS,2023-09-01,2026-11-14,,hard gelatin capsule shells,true
3,838,ACG,ACG Europe d.o.o.,1,true,GMP_EXCIPIENTS,2023-09-01,2026-11-14,,capsules,false
3,839,ACG,ACG Pharmapack Pvt. Ltd.,1,true,GMP_PACKAGING,2022-10-18,2026-01-17,,barrier films,true
3,839,ACG,ACG Pharmapack Pvt. Ltd.,1,true,GMP_PACKAGING,2022-10-18,2026-01-17,,pvc 200s03 (aclar) 134mm,true
3,839,ACG,ACG Pharmapack Pvt. Ltd.,1,true,GMP_PACKAGING,2022-10-18,2026-01-17,,high barrier films,true
3,839,ACG,ACG Pharmapack Pvt. Ltd.,1,true,GMP_PACKAGING,2022-10-18,2026-01-17,,tripac 200/30/90 white w2,false
3,839,ACG,ACG Pharmapack Pvt. Ltd.,1,true,GMP_PACKAGING,2022-10-18,2026-01-17,,"cold form - pvc, pvc/pvdc & pvc/pe/pvdc films cfb 25opa/45alu/60pvc",true
3,839,ACG,ACG Pharmapack Pvt. Ltd.,1,true,GMP_PACKAGING,2022-10-18,2026-01-17,,"primary packaging material - dupac, ecopac, tripac, aclar (40084054)",false
3,839,ACG,ACG Pharmapack Pvt. Ltd.,1,true,GMP_PACKAGING,2022-10-18,2026-01-17,,foil pvc 250/pvd40,true
3,4275,ACG,ACG DO BRASIL S.A.,,,,,,,gelatin capsules no. 2 pink,false
3,4280,ACG,NOVA NORDEPLAST INDÚSTRIA E COMÉRCIO PLÁSTICOS LTDA (ACG Films &Foils do Brasil),,,,,,,pvdc 90 crystal; pvdc 90 orange;   pvdc120 crystal,false
3,4339,ACG,ACG Pharmapack Private Limited - MAHARASHTRA,,,,,,,pvc 200s03 (aclar) 134mm,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,cefquinome sulfate,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,"cefalexin monohydrat, cefaclor monohydrate, cefadroxil monohydrate",true
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,cephalexin h2o compacted,true
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,cefoxitin sodium,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,céfazoline sodique stérile / cefaclor / cefalexine monohydarté poudre / cefalexine monohydarté compactée,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,cephalexin monohydrate,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,"""cefaclor ,cephalexin""",false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,"cefaclor monohydrate, cefadroxil monohydrate",true
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,"cefadroxil 1h2o, cefadroxil 1h2o com, cephalexin 1h2o, cefprozil 1h2o",true
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,"cephalexin, monohydrate",true
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,cefprozil 1h2o,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,systematic approach: cefaclor monohydrate compacted and cefprozil monohydrate compacted,true
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,cephradine monohydrate,true
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,cephalothin sodium,true
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,cefuroxime sodium,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,meropenem for injection,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,cephalexin-monohydrat,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,envelopes cont. primary,false
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,intermediate products of cefuroxime sodium,true
4,10,ACS Dobfar,ACS Dobfar S.p.A. - Site Monza e Brianza,1,true,"GMP_API, GMP_PACKAGING",2022-12-15,2026-03-09,,ceftibuten hydrate,true
4,11,ACS Dobfar,ACS Dobfar S.p.A. - Site Verona,2,true,GMP_FDF,2023-11-08,2026-11-16,,"ceftriaxon (powder for solution for injection/infusion in glass vial 10x1 g and 10x2g),cefalotin (powder for solution for injection/infusion in glass vial 10x2g),cefotaxim (powder for injection in glass vial, 10x0.5 g, 10x1 g and 10x2g),cefuroxim (powder for injection in glass vial 10x0.25 g,10x0.75 g and 10x1.5g),cefazolin 10x2 g",true
4,11,ACS Dobfar,ACS Dobfar S.p.A. - Site Verona,2,true,GMP_FDF,2023-11-08,2026-11-16,,"cefazolin, cefoxitin, ceftriaxone, ceftazidime, cefotetan (all powder for injection)",true
4,11,ACS Dobfar,ACS Dobfar S.p.A. - Site Verona,2,true,GMP_FDF,2023-11-08,2026-11-16,,taniborbactam powder in glass vials,true
4,842,ACS Dobfar,ACS Dobfar S.P.A. - Site Vimercate,1,true,GMP_API,2024-12-19,2028-02-04,,cephalotin,true
4,842,ACS Dobfar,ACS Dobfar S.P.A. - Site Vimercate,1,true,GMP_API,2024-12-19,2028-02-04,,cephalexin monohydrate,true
4,842,ACS Dobfar,ACS Dobfar S.P.A. - Site Vimercate,1,true,GMP_API,2024-12-19,2028-02-04,,cefaclor monohydrate cep powder,true
4,842,ACS Dobfar,ACS Dobfar S.P.A. - Site Vimercate,1,true,GMP_API,2024-12-19,2028-02-04,,cephradine monohydrate,false
4,843,ACS Dobfar,ACS Dobfar S.p.A. - Site Teramo,2,true,"GMP_FDF, STERILE_FDF",2023-02-01,2028-01-30,,"meropenem inresa 500mg, meropenem inresa 1000mg",true
4,843,ACS Dobfar,ACS Dobfar S.p.A. - Site Teramo,2,true,"GMP_FDF, STERILE_FDF",2023-02-01,2028-01-30,,"imipenem/cilastatin 500/500 mg powder for solution for injection, ertapenem 1 g powder for concentrate for solution for infusion",true
4,843,ACS Dobfar,ACS Dobfar S.p.A. - Site Teramo,2,true,"GMP_FDF, STERILE_FDF",2023-02-01,2028-01-30,,"imipenem cilastatin 500 mg acs dobfar for solution for injection, meropenem inresa 500mg, meropenem inresa 1000mg",true
4,843,ACS Dobfar,ACS Dobfar S.p.A. - Site Teramo,2,true,"GMP_FDF, STERILE_FDF",2023-02-01,2028-01-30,,vabomere® (meropenem + vaborbactam) for injection 2 g,true
4,843,ACS Dobfar,ACS Dobfar S.p.A. - Site Teramo,2,true,"GMP_FDF, STERILE_FDF",2023-02-01,2028-01-30,,meropenem,true
4,843,ACS Dobfar,ACS Dobfar S.p.A. - Site Teramo,2,true,"GMP_FDF, STERILE_FDF",2023-02-01,2028-01-30,,imipenem cilastatin 500 mg 500 mg acs dobfar for solution for injection and meropenem 1g acs dobfar for solution for injection/infusion,true
4,1615,ACS Dobfar,ACS Dobfar S.p.A. - Site Albano Sant’Alessandro,,,,,,,sulopenem etzadroxil,false
4,1615,ACS Dobfar,ACS Dobfar S.p.A. - Site Albano Sant’Alessandro,,,,,,,amphotericin b,false
4,1615,ACS Dobfar,ACS Dobfar S.p.A. - Site Albano Sant’Alessandro,,,,,,,amikacine solphate,false
4,1615,ACS Dobfar,ACS Dobfar S.p.A. - Site Albano Sant’Alessandro,,,,,,,clindamicyn phosphat,false
4,3691,ACS Dobfar,"ACS Dobfar S.p.A. - Site Tribiano, Milano",1,true,GMP_API,2024-12-11,2028-10-14,,"sterbag ldpe internal bag, sterbag hdpe medium bag, sterbag laminated external bag, mini sterbag ldpe internal, mini sterbag hdpe medium, mini sterbag laminated external",false
4,3691,ACS Dobfar,"ACS Dobfar S.p.A. - Site Tribiano, Milano",1,true,GMP_API,2024-12-11,2028-10-14,,"ertapenem 1 g powder for concentrate for solution for infusion,imipenem/cilastatin 500/500 mg powder for solution for injection",false
4,3691,ACS Dobfar,"ACS Dobfar S.p.A. - Site Tribiano, Milano",1,true,GMP_API,2024-12-11,2028-10-14,,cefazolin sodium sterile,false
4,3691,ACS Dobfar,"ACS Dobfar S.p.A. - Site Tribiano, Milano",1,true,GMP_API,2024-12-11,2028-10-14,,"vaborbactam sterile, meropenem trihydrate sterile, sodium carbonate sterile, meropenem-vaborbactam sterile bulk blend",true
4,3691,ACS Dobfar,"ACS Dobfar S.p.A. - Site Tribiano, Milano",1,true,GMP_API,2024-12-11,2028-10-14,,cefazolin sodium,false
4,3691,ACS Dobfar,"ACS Dobfar S.p.A. - Site Tribiano, Milano",1,true,GMP_API,2024-12-11,2028-10-14,,7-zaca (starting material for cefazolin production),false
4,4208,ACS Dobfar,ACS Dobfar S.p.A. - Site Tribiano D3,,,,,,,7-aca (7-aminocephalosporanic acid),false
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,rami/amlo capsules (5mg/5mg; 5mg/10mg; 10mg/5mg; 10mg/10mg); abiraterone acetate (500mg) tablets; cytisine (1.5mg) tablets,true
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,systematic approach: ramipril/amlodipine/hydrochlorothia/fludrocortisone/eplererone,true
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,"rami/amlo 5mg/10mg tabl, rami/amlo 10mg/10mg tabl, rami/amlo 5mg/5mg tabl, rami/amlo 10mg/5mg tabl",false
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,"ranolazine, ,abiraterone,solifenacin succinate/tamsulosine",false
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,"fdf eplerenone-50mg-fct, fdf eplerenone-25mg-fct",true
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,rosuvastatin film-coated tablets,true
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,ramipril-amlo / ramipril-amlo-hct arzneiformen,false
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,eplerenone 25 & 50 mg fct,true
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,"polytenza 5mg/5mg/12.5mg; n30 capsule, polytenza 5mg/5mg/25mg n30 capsule, polytenza 10mg/5mg/25mg n30 capsule, polytenza 10mg/10mg/25mg n30 capsule",true
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,"oxitril 30mg,oxitril  60mg,""zolafren capsule, hard 2,5 mg 5 mg 7,5 mg 10 mg 15 mg 20 mg"",""zolafren tablet 5 mg 10 mg  "",""zolafren flas 5 mg 10 mg 15 mg 20 mg"",""vaxar 5 mg 10 mg 20 mg 40 mg"",""tarlodix 2,5 + 5 mg 5 + 5 mg 5 + 10 mg 10 + 5 mg 10 + 10 mg"",""tarlodix plus 5 + 5 + 12,5 mg 5 + 5 + 25 mg 5 + 10 + 25 mg 10 + 10 + 25 mg"",""roasax 5 + 100 mg 10 + 100 mg 20 + 100 mg"",""sitagliptina 25 mg 50 mg 100 mg""",false
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,"abiraterone, ramipril, cytisine",false
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,"risedronate sodium farmoz 35 mg; - solifenacin + tamsulosin pentafarma mg, 6 mg + 0.4 mg",true
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,tamsulosin,false
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,fludrocortisone acetate 0.1mg tablets,true
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,"botinero 4 mg/5 mg - 30 tablets, botinero 4 mg/10 mg - 30 tablets, botinero 8 mg/5 mg - 30 tablets, botinero 8 mg/10 mg - 30 tablets",true
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,levocetirizine dihydrochloride 5 mg,false
5,12,Adamed Pharma,Adamed Pharma S.A.,2,true,GMP_FDF,2021-07-01,2026-06-27,,tamsulosine ,false
6,13,AllessaProduktion GmbH,AllessaProduktion GmbH,1,true,GMP_API,2024-02-09,2027-06-19,,phenothiazine d prills,false
6,13,AllessaProduktion GmbH,AllessaProduktion GmbH,1,true,GMP_API,2024-02-09,2027-06-19,,phenothiazine,false
6,13,AllessaProduktion GmbH,AllessaProduktion GmbH,1,true,GMP_API,2024-02-09,2027-06-19,,iso 9001 / phenothiazine,false
6,13,AllessaProduktion GmbH,AllessaProduktion GmbH,1,true,GMP_API,2024-02-09,2027-06-19,,molsidomine,true
7,14,ALS Global,ALS Laboratories (Uk) Limited,1,true,GMP_LABORATORY,2022-02-07,2025-06-16,,microbiological testing of api’s,true
7,14,ALS Global,ALS Laboratories (Uk) Limited,1,true,GMP_LABORATORY,2022-02-07,2025-06-16,,nitrate test for purified water,false
7,14,ALS Global,ALS Laboratories (Uk) Limited,1,true,GMP_LABORATORY,2022-02-07,2025-06-16,,micro & chemical testing,true
7,14,ALS Global,ALS Laboratories (Uk) Limited,1,true,GMP_LABORATORY,2022-02-07,2025-06-16,,"chemical tests, heavy metals for raw material",false
7,14,ALS Global,ALS Laboratories (Uk) Limited,1,true,GMP_LABORATORY,2022-02-07,2025-06-16,,testing of various raw materials,false
7,14,ALS Global,ALS Laboratories (Uk) Limited,1,true,GMP_LABORATORY,2022-02-07,2025-06-16,,"water (purified water and potable water) testing for chemical / microbial parameters, analysis of pharmaceutical raw materials testing",true
7,15,ALS Global,ALS Odense,2,true,GMP_LABORATORY,2022-07-07,2028-11-11,,"analytical,analyses: stability studies,contract laboratory,quality control",true
7,15,ALS Global,ALS Odense,2,true,GMP_LABORATORY,2022-07-07,2028-11-11,,"test for residual solvent in solid dose tablets, example is ethanol in primidon 50 mg and 250 mg tablets. they also preform various ph.eur analyses of api and excipients.",true
7,15,ALS Global,ALS Odense,2,true,GMP_LABORATORY,2022-07-07,2028-11-11,,"systematic approach: chemistry, microbiology, and stability analysis",true
7,15,ALS Global,ALS Odense,2,true,GMP_LABORATORY,2022-07-07,2028-11-11,,testing of raw material and api,true
7,16,ALS Global,ALS Scandinavia,1,true,GMP_LABORATORY,2024-03-12,2027-05-21,,elemental impurities,true
7,16,ALS Global,ALS Scandinavia,1,true,GMP_LABORATORY,2024-03-12,2027-05-21,,"elemental impurities and icp-ms analysis (medetomidine, detomidine, atipamezole)",true
7,16,ALS Global,ALS Scandinavia,1,true,GMP_LABORATORY,2024-03-12,2027-05-21,,icp-ms,true
7,17,ALS Global,ALS Czech Republic,2,true,GMP_LABORATORY,2022-03-17,2028-08-19,,gmp and testing of medicinal products - finished product,true
7,17,ALS Global,ALS Czech Republic,2,true,GMP_LABORATORY,2022-03-17,2028-08-19,,"chemical/physical/microbiological analysis (see product list attached). key products to be checked during audit: ibuprofen 400 mg, carbidopa-levodopa, macrogol, telmisartan und ethosuximide.",true
7,17,ALS Global,ALS Czech Republic,2,true,GMP_LABORATORY,2022-03-17,2028-08-19,,"chemical tests, gluten (elisa), heavy metals in icp for raw materials and nutritional supplements",false
7,17,ALS Global,ALS Czech Republic,2,true,GMP_LABORATORY,2022-03-17,2028-08-19,,eu batch release testing of finished medicinal products imported from third countries to eu / eea including germany,true
7,2717,ALS Global,ALS Scandinavia - Site Sollentuna,1,true,GMP_LABORATORY,2025-01-22,2028-04-08,,purified water,true
7,3289,ALS Global,Neosis SRL,1,true,GMP_LABORATORY,2024-02-21,2027-04-16,,analysis of drinking water (3 wells) and medical air,true
8,18,Aluberg,Aluberg S.P.A.,2,true,GMP_PACKAGING,2020-09-08,2026-10-25,,"pharmaceutical push through foil, unprinted,technical data sheet 31h05",false
8,18,Aluberg,Aluberg S.P.A.,2,true,GMP_PACKAGING,2020-09-08,2026-10-25,,complex opa/alu/pvc,true
8,18,Aluberg,Aluberg S.P.A.,2,true,GMP_PACKAGING,2020-09-08,2026-10-25,,cold form,true
8,18,Aluberg,Aluberg S.P.A.,2,true,GMP_PACKAGING,2020-09-08,2026-10-25,,aluminium foil,true
8,18,Aluberg,Aluberg S.P.A.,2,true,GMP_PACKAGING,2020-09-08,2026-10-25,,"aluminum,complex aluminum ups",false
8,18,Aluberg,Aluberg S.P.A.,2,true,GMP_PACKAGING,2020-09-08,2026-10-25,,aluminium foil (for blister),true
8,18,Aluberg,Aluberg S.P.A.,2,true,GMP_PACKAGING,2020-09-08,2026-10-25,,"1) cold form: opa 25µm/alu.45 µm/pvc 60 µm – opa outside (ext.) pvc inside, product code: 3370176, width: 118 mm / 2) cold form: opa 25µm/alu.45 µm/pvc 60 µm – opa outside (ext.) pvc inside, product code: 3425187, width: 274 mm",true
8,18,Aluberg,Aluberg S.P.A.,2,true,GMP_PACKAGING,2020-09-08,2026-10-25,,bobines alufilm,false
8,18,Aluberg,Aluberg S.P.A.,2,true,GMP_PACKAGING,2020-09-08,2026-10-25,,aluminium 20my hard tempered primer ct311 on mat side (ext) - thermosealable lacquer to pvc/pvdc on bright side,true
9,19,Amazon Filters,Amazon Filters Ltd.,1,true,ISO_9001,2021-06-07,2024-08-24,,supapore filter (ppg) range,true
9,19,Amazon Filters,Amazon Filters Ltd.,1,true,ISO_9001,2021-06-07,2024-08-24,,sterilfilter,true
10,20,Amcor,Amcor Flexibles Zlotow Sp. Z O.O.,1,true,GMP_PACKAGING,2023-05-17,2026-07-12,,printed aluminium foil,true
10,20,Amcor,Amcor Flexibles Zlotow Sp. Z O.O.,1,true,GMP_PACKAGING,2023-05-17,2026-07-12,,printing aluminum foil nc-free,true
10,20,Amcor,Amcor Flexibles Zlotow Sp. Z O.O.,1,true,GMP_PACKAGING,2023-05-17,2026-07-12,,printed aluminum foil,true
10,20,Amcor,Amcor Flexibles Zlotow Sp. Z O.O.,1,true,GMP_PACKAGING,2023-05-17,2026-07-12,,preprinted primary packaging foil,false
10,20,Amcor,Amcor Flexibles Zlotow Sp. Z O.O.,1,true,GMP_PACKAGING,2023-05-17,2026-07-12,,"alu foil, 20µm",true
10,20,Amcor,Amcor Flexibles Zlotow Sp. Z O.O.,1,true,GMP_PACKAGING,2023-05-17,2026-07-12,,aluminium lidding foil,true
10,21,Amcor,Amcor Flexibles Singen GmbH,3,true,GMP_PACKAGING,2021-11-24,2028-11-27,,"amcor-spz: tdsp0122-e in den breiten 160 mm und 184 mm, amcor-spz: tdsp0234-e in den breiten 150 mm und 174 mm",true
