name,auditID,qualityType,auditDate,auditEnd,Date,Audit Standard,Address,SAM,Available in MI/SI?,Final QCR,Calculation completed,Date of Calculation,Missing Data,Minor - Observations,Major - Observations,Critical - Observations,Observations rating,Avg Rating Quality Documentation,Avg Rating Quality Monitoring,Avg Rat Facilities and Operations,Compliance Score,capaAdequacy,CAPA baseline,actionPlanSent,Initial NEW,Days,CAPA score,Observations DATA available,Rating DATA available,CAPA DATA available,Award,Certificate generated,Request to increase Score
UBI Pharma Inc.,rectx84KmnUvnnJcc,STERILE_FDF,08/01/2025,09/01/2025,08/01/2025 - 09/01/2025,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","No. 45, Guangfu N. Rd., Hukou Hsinchu, 
303036, Hsinchu County, 
Taiwan",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,2,2,0,65.2,59,67,74,67.80,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Zaklady Farmaceutyczne Polpharma S.A.,recjfXPAGHughddwo,GMP_FDF,08/01/2025,09/01/2025,08/01/2025 - 09/01/2025,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","19, Pelplińska Str., 
83-200, Starogard Gdański, 
Poland",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,4,0,0,81.5,67,67,67,67.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Yangzhou Aurisco Pharmaceutical Co., Ltd.",rec5ZeWqoo2hY3zSR,GMP_API,09/01/2025,,09/01/2025,EUGMP Part II / ICH Q7,"No. 28, Jian’an Road, 
225100, Yangzhou City , Jiangsu Province, 
High-Tech Industrial Development Zone, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,67,67,67,67.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Cantourage UK Limited,recB5A2840OXf5L0z,GDP_DISTRIBUTION,09/01/2025,,09/01/2025,EC Guidelines of 5 November 2013 on Good Distribution Practice of medicinal products for human use (2013/C 343/01),"Unit 6, 13 Ramsgate Street Hackney, 
E8 2FD, London, 
United Kingdom",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,4,0,0,81.5,45,56,1,31.25,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Proviron Functional Chemicals nv,recT1sRNJVx9Uekgc,ISO_9001,09/01/2025,,09/01/2025,"ISO 9001:2015 - Quality management systems, as applicable to the manufacturing of chemicals","Oudenburgsesteenweg 100, 
8400, Oostende, 
Belgium",Victoria Holmberg,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,67,67,67.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Vita Solar Biotechnology Co., Ltd",recfQeHKMw26McK4e,FOOD,10/01/2025,,10/01/2025,"FSSC 22000 v 6.0 (Food Safety System Certification), including ISO 22000:2018, ISO/TS 22002-1, and Additional Requirements","E-2704 Van Metropolis, No.35 Tangyan Road, High-tech Industries Zone, Xi&#39;an ,, 
710075, Xian, 
High-tech Industries Zone, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,0,18,0,5.4,1,1,8,3.80,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Sun Pharmaceutical Industries Limited,rectmyosoavbudEZ8,GMP_FDF,10/01/2025,,10/01/2025,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","INDUSTRIAL AREA NO. 3, A.B. ROAD,, 
455 001, Dewas, 
India",Ania Jaworska,No,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,59,67,60,62.20,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Mehta Pharmaceutical Industries Pvt Ltd,recaGp2bbdpgZlmYa,GMP_API,11/01/2025,,11/01/2025,,"Unit no. II, Kopri Village Naka, Veer Savarkar Marg, Chandansar Road, Virar (East), 
401303, Palghar, Maharashtra, 
India",Nicolina Guasch,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
Gimopharm ,recTRSP2yHrYuLcHi,GMP_LABORATORY,13/01/2025,,13/01/2025,,"1, chemin de Saulxier, 
91160, Longjumeau, 
France",Gonzalo Regal,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
Optel Group,recGtEBY8D7k5uawO,GAMP_SOFTWARE,13/01/2025,,13/01/2025,GAMP 5 Ed.2,"2680 boul. du Parc Technologique, 
G1P 4S6, Québec, 
Canada",Omar Taha,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,67,,1,26.38,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Steris,reccPgVZ0T3ZEg2dF,ISO_9001,08/01/2025,,08/01/2025,"ISO 9001:2015 - Quality management systems, as applicable to supply of calibration and maintenance services","8, rue de Rastignac Les Portes de Micy, 
45380, La Chapelle St Mesmin, 
France",Omar Taha,Yes,87.75,TRUE,14/03/2025,FALSE,0,0,0,100.0,59,67,67,65.00,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
TIANHUA TECH. CO LTD,recTKDxxf2R4mISgf,GMP_SECONDARY_PACKAGING,14/01/2025,,14/01/2025,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP)","No.1 Shuibao Road,South Area of Lishui Economic Development Zone, 
Nanjing, Jiangsu, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,0,6,0,37.7,42,67,47,52.75,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Delamine B.V.,recxTpM8pIxJcGWab,GMP_API,14/01/2025,,14/01/2025,APIC Guide for Auditing Registered Starting Material Manufacturers (2018),"Oosterhorn 8, 
9936 HD, Farmsum, 
Netherlands",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,3,2,0,61.9,59,54,54,55.25,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Dab-O-Matic Corp.,recS1xey9RkSNDVQl,GMP_PACKAGING,14/01/2025,,14/01/2025,"ISO 9001:2015 - Quality management systems, as applicable to the manufacturing and assembly of plastic applicator caps","2431 Quantum Blvd, 
FL 33426, Boynton Beach, 
United States",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,0,3,0,61.4,51,45,67,55.30,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Laboratorios Espinós y Bofill SA (Lebsa),rectGWL5L7n5tTZqN,GMP_API,15/01/2025,,15/01/2025,,"Ctra. de l’Hospitalet. 34, 
8940, Cornellà de Llobregat, 
Barcelona, 
Spain",Gonzalo Regal,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
The Hibbert Group,recwUhWpbPINwOYDa,GMP_MED_DEV,08/01/2025,,08/01/2025,ISO 9001:2015 Quality Management Systems – Requirements,"890 Ship's Landing Way, 
19720, New Castle, DE, 
United States",Gonzalo Regal,Yes,87.75,TRUE,14/03/2025,FALSE,0,0,0,100.0,59,67,67,65.00,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Finzelberg GmbH & Co. KG,recNDwQbdGF64rsYn,GMP_API,15/01/2025,,15/01/2025,EUGMP Part II / ICH Q7,"Koblenzer Straße 48 - 56, 
56626, Andernach, 
Germany",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,6,2,0,53.1,59,47,60,55.20,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Delpharm Dijon SAS,recaIcvOjfI8wOY6a,STERILE_FDF,15/01/2025,16/01/2025,15/01/2025 - 16/01/2025,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","6 Boulevard de l'Europe, 
21800, Quetigny, 
France",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,3,2,0,61.9,59,54,67,60.45,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
JW Pharmaceutical API plant,recIWWYOnYvDR15uf,GMP_API,15/01/2025,,15/01/2025,EUGMP Part II / ICH Q7,"#56, Gyeongje-ro, 
15096, Gyeonggi-do, 
Siheung-si, 
South Korea",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,4,0,0,81.5,67,47,67,60.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Madhu Instruments Pvt. LTD,recF6zwTSqJvdxMDh,GMP_MED_DEV,15/01/2025,16/01/2025,15/01/2025 - 16/01/2025,,"Okhla Industrial Area, Phase I,, 
110 020, New Delhi, 
India",Ania Jaworska,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
PT Kalbe Farma,recG6T1SVmCnzaFMd,GVP_COVIGILANCE,15/01/2025,,15/01/2025,Guideline on Good Pharmacovigilance Practices (GVP),"Gedung Kalbe 3 Lt. 2, 
10510, Jakarta, 
Jl. Let. Jend. Suprapto Kav.4, 
Indonesia",Victoria Holmberg,No,Missing/wrong Data,FALSE,,TRUE,5,0,0,77.4,,,1,1.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Raschig GmbH,recwmuvyVK0vtw66k,ISO_9001,15/01/2025,,15/01/2025,"ISO 9001:2015 - Quality management systems, as applicable to the manufacturing of specialty chemicals","Mundenheimer Strasse 100, 
67061, Ludwigshafen, 
Germany",Anne Germer,No,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,59,67,67,65.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Ipca Laboratories Pvt. Ltd.,recjJfOEMCLMV6Qca,GMP_STARTING_MATERIALS,16/01/2025,,16/01/2025,EUGMP Part II / ICH Q7,"H-4, M.I.D.C., Waluj, 
431136, Aurangabad, 
Maharashtra, 
India",Victoria Holmberg,Yes,Missing/wrong Data,FALSE,,TRUE,3,3,0,52.7,59,60,54,57.35,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Hebei Shengxue Dacheng Pharmaceutical Tangshan Co., Ltd.",recTjXSr0nhgCJPNE,GMP_API,16/01/2025,,16/01/2025,EUGMP Part II / ICH Q7,"No.160 Gongyuan Road. Fengrun. District Tangshan, 
64000, Tangshan, 
Hebei, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,3,1,0,72.9,67,67,60,64.20,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Humanis (ex. Pharmactive İlaç Sanayi ve Tic A.Ş.),rec4y7ofViReJygE3,GMP_FDF,14/01/2025,15/01/2025,14/01/2025 - 15/01/2025,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","Ç.O.S.B. Karaağaç Mahallesi Fatih Bulvarı No:32, 
59510, TEKİRDAĞ, 
Turkey",Anne Germer,No,88.45,TRUE,14/03/2025,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
GHD GmbH Ahrensburg,rece3c4vaWWJ2CWII,GVP_COVIGILANCE,16/01/2025,,16/01/2025,,"Fritz-Reuter- Strasse 2, 
22926, Ahrensburg, 
Germany",Anne Germer,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
Airpharm SA,recM80KdQ32kjEV7b,GDP_DISTRIBUTION,15/01/2025,,15/01/2025,EC Guidelines of 19 March 2015 on principles of Good Distribution Practice of active substances for medicinal products for human use (2015/C 95/01),"Güterstrasse 66, 
CH-4133, Basel, 
Pratteln, Basel (free customs transit area, 
Switzerland",Nicolina Guasch,Yes,88.45,TRUE,14/03/2025,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Siegfried St. Vulbas SAS,recyrxcJkLRErHiHp,GMP_API,16/01/2025,,16/01/2025,EUGMP Part II / ICH Q7,"Parc Industriel de la Plaine de I'Ain 530 Allee de la Luye, 
1150, Saint Vulbas, 
France",Nicolina Guasch,No,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,67,67,67.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
SPLACK S.A.,recWn52Ma8YiXhCNo,GMP_PACKAGING,16/01/2025,,16/01/2025,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP).","AV TEGULA 888, PREDIOS 7e8 CEA, ATIBAIA - SP-BRAZIL ROD, D.PEDRO , KM 87.5, 
12952-820, São Paulo, 
Brazil",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,3,1,0,72.9,59,67,67,65.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Aspen Oss B.V. - De Geer & Moleneind sites,recWCaLceH3sZMLHD,GMP_API,16/01/2025,,16/01/2025,EUGMP Part II / ICH Q7,"Kllosterstraat 6, 
5349, Oss, 
Netherlands",Laura Lopez,Yes,94.14,TRUE,14/03/2025,FALSE,0,0,0,100.0,100,67,87,83.25,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Guangdong Stone,recOwPvRQL9vKumqp,GMP_PACKAGING,17/01/2025,,17/01/2025,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP)","Stone Industry Park, Longxing Road, Yuanzhou Town, Boluo County, 
Huizhou City, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,6,3,0,45.1,26,67,41,46.35,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Logista Pharma Italia S.r.l.,rec5YA3762LV9qf16,GDP_DISTRIBUTION,17/01/2025,,17/01/2025,EC Guidelines of 5 November 2013 on Good Distribution Practice of medicinal products for human use (2013/C 343/01),"Via della Mola Saracena snc, 
65, Fiano Romano, 
Italy",Omar Taha,Yes,Missing/wrong Data,FALSE,,TRUE,2,2,0,65.2,67,34,67,55.45,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Chengda Pharmaceuticals Co. Ltd,recDfuATW9o8yvjK5,GMP_STARTING_MATERIALS,20/01/2025,,20/01/2025,APIC Guide for Auditing Registered Starting Material Manufacturers (2018),"No. 36, HUANGHE ROAD - HUIMIN SUBDISTRICT, 
314100, Jiashan, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,0,2,0,72.3,59,60,60,59.75,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Laboratori FUNDACIO DAU,recMK11dXE6jIEKdl,GMP_LABORATORY,20/01/2025,,20/01/2025,Applicable parts of EU GMP (including annexes),"Laboratori FUNDACIO DAU, 
8040, Barcelona, 
C/Lietra C, 12-14 P.I. Zona Franca, 
Spain",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,3,2,0,61.9,67,56,1,36.75,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Medi-fill,recPWJG0h1fJOoiHZ,GMP_MED_DEV,20/01/2025,,20/01/2025,ISO 13485:2016 Medical devices — Quality management systems — Requirements for regulatory purposes,"Egelskoog 9, 
1822 BM, Alkmaar, 
Netherlands",Victoria Holmberg,Yes,Missing/wrong Data,FALSE,,TRUE,8,1,0,56.4,59,67,60,62.20,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Pretium Canada Packaging ULC,recLFGTWYFMvXD8Sr,GMP_PACKAGING,16/01/2025,,16/01/2025,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP).","50 A Steinway Blvd., 
M9W 6Y3, Etobicoke ON, 
Canada",Victoria Holmberg,Yes,88.45,TRUE,14/03/2025,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Merckle GmbH,recOS61y2ASVTFHZl,GMP_FDF,21/01/2025,22/01/2025,21/01/2025 - 22/01/2025,EudraLex Vol. 4 and the applicable annexes,"Graf-Arco-Str. 3, 
89079, Ulm, 
Germany",Nicolina Guasch,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,67,67,67,67.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Phine Kemikals India,recsch7rDXGOt316D,GMP_EXCIPIENTS,21/01/2025,,21/01/2025,2022 IPEC – PQG Good Manufacturing Practices Guide for pharmaceutical excipients,"Plot No 1/2/3/90/P3A, 
389002, Godhra, 
GIDC Estate, 
India",Gonzalo Regal,No,Missing/wrong Data,FALSE,,TRUE,1,9,8,0.1,1,1,1,1.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Sartorius Stedim,recyU4Ti3lnQolTG0,"GMP_MED_DEV, ISO_9001",21/01/2025,,21/01/2025,ISO 13485:2016 Medical devices — Quality management systems — Requirements for regulatory purposes,"Zone Industrielle Les Paluds, Av. de Jouques, 
13400, Aubagne, 
France",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,59,75,67,67.80,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Fischer Chemicals AG,recQ99Z9EN6AflZx8,GDP_DISTRIBUTION,21/01/2025,,21/01/2025,,"Riesbachstrasse 57, 
8034, Zurich, 
Switzerland",Anne Germer,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
Vectura,recdBrCPEMqiBztXH,GMP_MED_DEV,16/01/2025,,16/01/2025,ISO 13485:2016 Medical devices — Quality management systems,"205 Cambridge Science Park Milton Rd, 
CB4 0GZ, Cambridge, 
United Kingdom",Victoria Holmberg,Yes,88.45,TRUE,14/03/2025,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Nonstop Technologies GmbH,recIQHrmZOqsygsym,"ISO_9001, GAMP_SOFTWARE",20/01/2025,,20/01/2025,ISO 9001:2015,"Walder Str. 9, 
42781, Haan, 
Germany",Anne Germer,Yes,88.45,TRUE,14/03/2025,FALSE,0,0,0,100.0,67,67,,67.00,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
