HOLDER,SUBJECT
WORTHINGTON BIOCHEM CORP,HYALURONIDASE
A MASCHMEIJER JR INC,ISONICOTINIC ACID HYDROZIDE
EI DUPONT DE NEMOURS AND CO INC,ALATHON (POLYTHENE RESIN)
NIPA LABORATORIES INC,OTTAFECT AND OTTASEPT
PFIZER INC,LUDOX
BASF CORP,PLURONICS (L62 F68) L44 PLURONIS POLYOLS
PARKE DAVIS AND CO,GENERAL METHODS OF MANUFACTURE $ CONTROL
SB PENICK AND CO,AQUEESTROL
NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,DARAPRIM (PYRIMETHAMINE)
ROUSSEL CORP,CORTISONE ACETATE
DEXTRAN CORP,PLASMA EXPANDERS
NORDA ESSENTIAL OIL AND CHEMICAL CO INC,DICHLOROSAN
SB PENICK AND CO,NEOMYCIN SULFATE USP
TERRA CHEMICALS INC,AEROSIL
RT VANDERBILT CO INC,VANCIDE 89 (CAPTAN)
SARATOGA TRADING CORP,RAUWOLFIA SERPENTINA
SB PENICK AND CO,PROTAVERATRINE
PASADENA RESEARCH LABORATORIES INC,HYDROCORTISONE ACETATE
ER SQUIBB AND SONS INC,VITAMINE B-12
NORDA ESSENTIAL OIL AND CHEMICAL CO INC,HALOSAN
SB PENICK AND CO,PHTHALAMAQUIN
PFIZER INC,NEOMYCIN SULFATE CAPS (THIS DMF CHANGED TO NDA 9-579)
DOW CORNING CORP,SILICONES
GENERAL ANILINE AND FILM CORP,SODIUM N-LAUROYL SARCOSINATE
CENTRAL SOYA CO INC,SOYBEAN STEROL PRODUCTS
NATIONAL RESEARCH COUNCIL,DRUG ADDICTION $ NARCOTICS
LIDD DAVID MD,POLYVINYL PYRROLIDONE
AMGER CHEMICALS INC,DEHYDROACETIC ACID
SB PENICK AND CO,RESERPINE
DOW CHEMICAL CO,SHORT TERM CHRONIC DIETARY FEEDING OF METHOCEL 2602 TO RATS
SE MASSENGILL CO,FACILITIES $ CONTROL
ORGANICHEM CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
US ATOMIC ENERGY COMMISSION,"RADIO ISOTOPES, IODINE 131 AND PHOSPHORUS 32"
3M PHARMACEUTICALS,VARIOUS RAUWOLFIA SPECIES
CHAS PFIZER AND CO INC,RESERPINE
IOWA STATE COLLEGE,DIETHYLSTILBESTROL AS A CATTLE FEED ADDITIVE
THOS LEEMING AND CO SUB CHAS PFIZER AND CO INC,"FACILITIES ,CONTROL"
OHIO AGRICULTURE EXPERIMENT STATION,MASSIVE VIT D FOR MILK FEVER PREVENTION
NATIONAL RESEARCH COUNCIL,NRC.MEETING $ OTHER MEETINGS
LUBRIZOL ADVANCED MATERIALS INC,"CARBOPOL 934P NF, 934 NF, 942NF, AND 940NF POLYMER"
SB PENICK AND CO,RAUSERFIA TABLETS
GENERAL ELECTRIC CO,SILICONES
MEER CORP,RESERPINE CONCENTRATE
CORN PRODUCTS INC,GLUCURONO-LACTONE $ THE SALTS OF GLUCURONIC ACID
ROUSSEL CORP,"HYDROCORTISONE,FREE ALCOHOL"
WORTHINGTON BIOCHEM CORP,CRYSTALLINE TRYPSIN
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,SPECIFICATIONS AND METHODS OF ASSAY
PENICK CORP,UTERASE
MERCK SHARP AND DOHME RESEARCH LABORATORIES DIV MERCK AND CO INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
EASTMAN CHEMICAL CO,D-ALPHA-TOCOPHERYL POLYETHYLENE GLYCOL 1000 SUCCINATE
NEW DRUG INSTITUTE,"RAUWOLFIA SERPERTINA WHOLE ROOT,MANNITOL HEXANITRATE ,"
MERCK AND CO INC,PROCESS $ CONTROL DATE CONCERNING MANUFACTURE OF 2-ACETYLAMINA ETC.
NEW DRUG INSTITUTE,RESERPINE;PROTOVERATRINES A&B;SUCROSE;STARCH;LACTOSE;ACACIA;MAGNESIUM
CITRUS AND CANNED PRODUCTS ASSN,HESPERDIN
NATIONAL RESEARCH COUNCIL,PLASTIC BAG CONTAINERS
NEW DRUG INSTITUTE,NDI FORMULA 200
ASHLAND INC,POLYVINYL PYRROLIDONE-IODINE 10
ELI LILLY AND CO,TOPICAL ANESTHETIC COMPOUND C-10
NEW DRUG INSTITUTE,NDI. FORMULA 156
WYETH INC,MANUFACTURING: METHODS AND CONTROLS
COLORADO AGRICULTURAL & MECHANICAL COLLEGE,DIETHYLSTILBESTROL IN CATTLE FEEDS --SAFETY OF USE OF
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,SYSTEMS FOR THE CONTROL OF MANUFACTURE PROCESSING $ PACKING OF DRUGS
SPECGX LLC,PARZONE BITARTRATE (DIHYDROCODEINE BITARTRATE)
MALLINCKRODT INC,RESERPINE
FINE CHEMICALS CANADA LTD,RESERPINE
PENNWALT CORP,CONTROL PROCEDURES MANUFACTURING
INSTITUTE STUDY ANALGESIC SEDATIVE DRUGS,REPORT OF MEETING
UPJOHN CO,ORINASE
NEW DRUG INSTITUTE,HYDROCORTISONE
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,ESKASUL MANUFACTURING DETAILS
PENICK CORP,GRAMICIDIN
INTERNATIONAL FLAVORS AND FRAGRANCES INC,"ALVA FLAVORS, SEALVA FLAVORS"
ER SQUIBB AND SONS INC,STILBETIN SUPPLEMENT 50 (DIETHYLSTILBESTROL IN POLYETHYLENE GLYCOL)
NEW YORK QUININE AND CHEMICAL WORKS INC,DIHYDROCODEINE BITARTRATE ANHYDROUS
BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,TESTING FACILITIES FOR RAW MATERIALS & FINISHED GOODS
UPJOHN CO,COMBINED ADRENAL HORMONE ANTIBIOTIC THERAPY
SB PENICK AND CO,RAUNORMINE
MALLINCKRODT INC,"FERROUS FUMARATE ""TOLERON"""
PHARMACRAFT INC,ZIRCONIUM
SOCIETE DES LABORATOIRES LABAZ,"SULFANILAMIDE -2,4-DIMETHOXY-5-TRIAZINE (HB-182)"
SOCIETE DES LABORATOIRES LABAZ,CARNITINE CARNITINATE DICHLORIDE
ARCHIMICA LTD,"TCC TRICLOCARBAN (3,4,4'-TRICHLORO CARBANILIDE)"
PHARMACEUTICAL PRODUCTS CO INC,A DESCRIPTION OF THE FACILITIES & OPERATING PROCEDURES
SUMNER CHEMICAL CO INC,POTASSIUM PARA AMINOSALICYLATE
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,STYLOMYCIN (PUROMYCIN)
ANHEUSER BUSCH INC,VITA-BUSCH-12 CONCENTRATE
FRANK SAMUEL AND CO INC,POWDERED WHOLE RAUWOLFIA SERPENTINA ROOT
GALAT ALEXANDER,N-(3'DIMETHYLAMINO)PROPYL PHENOTHIAZING HCL (PROMAZINE HCL)
SB PENICK AND CO,"AMMOIDIN (8-METHOXYPSORALEN, XANTHATOXIN)"
SOCIETE DES LABORATOIRES LABAZ,SODIUM DI-TERTIARY BUTYL-NAPHTHALENE SULFONATE
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,DIETHYLSTILBESTROL PWD & DIETHYLSTILBESTROL 50% SUSPEN. IN SOYBEAN OIL
BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,CALCIUM AMPHOMYCIN OINTMENT
ELI LILLY AND CO,CHLORDIETHYLNOL (DIETHYL CHLORO ETHYNYL CARBINOL)
NEW YORK ACADEMY SCIENCES,MEETINGS AND MISCELLANEOUS
CHEMO PURO MFG CO,PIPERAZINE PREPARATIONS
PENCO OF LYNDHURST INC,METHOCARBAMOL
WALLERSTEIN,TYROTHRICIN & GRAMICIDIN
SYNTHETIC FERTILIZERS AND CHEMICALS INC,p HYDROXYPHENYLSALICYLAMIDE
CARBIDE AND CARBON CHEMS CO DIV UNION CARBIDE AND CARBON COR,PIPERAZINE
ELLAY RUBBER CO DIV WR GRACE AND CO,VINYL SHEETING & GRANULES - 0445X3
GANE AND INGRAM INC,BENACTYZINE HCL
DR REDDYS LABORATORIES LTD,NORETHINDRONE
SYNTEX LABORATORIES INC SUB SYNTEX CORP,PREDNISONE(CRUDE AND CRYSTALLINE)
APOTHEKERNES LABORATORIUM AS,NEOMYCIN SULFATE
ARMOUR LABORATORIES DIV ARMOUR PHARMACEUTICAL CO,"3,3' - ALLYLDIETHYLSTILBESTROL & 3,3' - ALLYL HEXESTROL"
ARMOUR LABORATORIES DIV ARMOUR PHARMACEUTICAL CO,VITAMIN B12 CONC. (FEED GRADE MILORGANITE) (VET MED)
ER SQUIBB AND SONS INC,PACKAGING OF SQUIBB RADIOPHARMACEUTICALS
JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,XYLOCAINE
JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,SODIUM POLYTHIONATE SOLUTION (VET MED)
MERCK AND CO INC,AQUEOUS SOLN RADIO-ACTIVE VITAMIN B12
CLINCAL TECHNOLOGY DIVISION OF SYBRON CORP,IONAC C-269
SOCIETE DES LABORATOIRES LABAZ,ADRENOCHROME MONO SEMI CARBAZONE
FERRING AB,TRICORTAN (VET MED)
GENERAL PACKAGING SERVICE,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
SYNTEX LABORATORIES INC SUB SYNTEX CORP,HORMONE COCKTAIL
ROUSSEL CORP,PREDNISONE
ROBECO CHEMICALS INC,ROBANE
UPJOHN CO,"NEOMYCIN SULFATE 0.5GM, COMMERICIAL GRADE, NOT USP"
ROHM AND HAAS CO,POLYMER MC 2242
SB PENICK AND CO,NEOMYCIN PALMITATE
RHODIA INC,HYDROCHLORIDE 6484 R.P. (VET MED)
JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,STEROSAN (VET MED)
IVERS LEE DIV BECTON DICKINSON AND CO,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
RHODIA INC,PIPERAZINE DIHYDROCHLORIDE AMMONIUM) RHODEX (VET MED)
NORDA ESSENTIAL OIL AND CHEMICAL CO INC,BIS (2-HYDROXY-5-CHLORO PHENYL) SULFIDE
CHAS PFIZER AND CO INC,NEOMYCIN SULFATE (VET MED)
MERCK AND CO INC,NEOMYCIN SULFATE
NEW YORK QUININE AND CHEMICAL WORKS INC,"HYDROCORTISONE, HYDROCORTISONE ACETATE & CORTISONE ACETATE"
DOW CHEMICAL CO,"DISIDIUM DIHYDROGEN VERSENATE, A.R."
"F.X. GASSNER, COLORADO STATE UNIVERSITY",TESTOSTERONE & DIETHYLSTILBESTROL-CATTLE FEED MIXED W/INGREDS--SAFETY?
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,DEXOXYEPHEDRINE HCL
SYNTEX SA,PREDNISOLONE
ORTHANA KEMISK FABRIK A S,CORTICOTROPIN - GEL
GENERAL MILLS INC,L-ARGININE MONHYDROCHLORIDE AND L-ARGININE AND L-GLUTAMATE
SYNTEX SA,17a - ACETOXY PROGESTERONE
MEDA PHARMACEUTICALS INC,2 HYDROXY-METHYLENE-17 ALPHA METHYL-DIHYDRO-TESTOTERONE
PETER HAND FDN,VITAMIN A-DESOXYCHOLIC ACID COMPLEX
NEW DRUG INSTITUTE,SYNTHESIS OF RESPERINE
SB PENICK AND CO,RESCINNAMINE
SPARKS CORP,PROCEDURE FOR HANDLING MEDICAL TABLETS
EMERY PERSONAL CARE PRODUCTS GROUP,ETHOXYLAN
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,AEROSOL OT-N
UPJOHN CO,"COMPRESSED TABLETS UPRIN, 5GR(ASPIRIN ANHYDRIDE)"
SMITH KLINE & FRENCH LABS DIV SMITHKLINE BECKMAN CORP,GENERAL CONTROL PROCEDURES
JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,FRAMYCETIN (SOFROMYCIN ROUSSEL)
MERCK AND CO INC,HYDROCORT. 21-PHOSPHATE & NEOMYCIN SO4--OPTHAL. SOL. 0.5% & INJECT
DISTILLATION PROD INDS DIV EASTMAN KODAK CO,INDOCYANINE GREEN
SYNTEX LABORATORIES INC SUB SYNTEX CORP,19 NOR - 17 ALPHA - METHYL - TESTOSTERONE
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,SULFACHLOROPYRAZINEM - MFR & SPECS
SOCIETE DES LABORATOIRES LABAZ,PROPYNYL CYCLOHEXANOL CARBAMATE
JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,DEQUADIN (COMMON NAME DEQUALINIUM CHL)
JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,TEOQUIL
HOFFMANN LA ROCHE INC,FACILITIES AND CONTROLS --TRETINOIN
JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,SOMATOTROPIC HORMONE - JOURNAL REFERENCES
ELI LILLY AND CO,1 - CYCLOPPENTYL - 2 - AMINO PROPANE
UPJOHN CO,"CHLORPROPAMIDE TABLETS-PHARMACOLOGY, CLIN RPTS,MFG'S PROCEEDS. & CNTRL"
RALSTON PURINA CO,MF'G PROCEDURES FOR PURINA CHOWS
GIVAUDAN CORP ,"GIV - TAN F OIL & LOTION - PHARMACOLOGY, SPECS."
AMERCHOL CORP,CHOLESTEROL & LANOLIN PRODUCTS
CHEMICALS INC,DRXTRAN POWDER-SPEC & MFG PROCESSES
SE MASSENGILL CO,CONTROL PROCEDURES STANDARD OPERATION PROCEDURES
RHODIA INC,4632 R.P. MALEATE
PFIZER INC,TERRAMYCIN-HYGROMYCIN PREMIX
SYNTEX LABORATORIES INC SUB SYNTEX CORP,19-NOR-17a-ETHINYL-TESTOSTERONE-17 B ACETATE
RHODIA INC,3828 R.P. FUMARATE - MF'G PROCEDURE
SYNTHETIC FERTILIZERS AND CHEMICALS INC,N-DIETHYLVANILLAMIDE (MFR. & SPECS)
ICI AMERICAS INC,ARLACEL; 165 ARLACEL; 161 MYRJ 59 - SPECIFICATION
JORDAN KENNETH L MD,MEPHENESIN & PROCAINE HCL
WALLERSTEIN CO DIV TRAVENOL LABORATORIES INC,MYLASE
ICI AMERICAS INC,SPAN 85 - SPECS & ASSAY METHODS
AYERST LABORATORIES INC DIV AMERICAN HOME PRODUCTS CORP,MF'G CONTROL PROCEDURES - SPECS FOR COMMONLY USED IN RAW MATERIALS
SB PENICK AND CO,CANDICIDIN
PARKE DAVIS DIV WARNER LAMBERT CO,1-DESOXYEPHEDRINE
RUSPACK CORP,PROCEDURES FOR PRODUCING PHYSICIANS SAMPLES
DOW CHEMICAL CO,DOW 132 (4-TERT-BUTYL-2-CHLOROPHENYLMETHYL METHY PHOSPHORAMIDATE)
MONSANTO CO,HEMA (HYDROLYZED ETHYLENE MALEIC ANHYDRIDE) RESIN
PABST LABORATORIES DIV PABST BREWING CO,ZYMO-PABST
UPJOHN CO,"SOLKETAL(GLYCEROL 1,2 - ISOPROPYLIDENE ETHER)"
SOLVAY PHARMACEUTICALS,DUVADILAN (ISOXSUPRINE HCL)
ELI LILLY AND CO,MYRISTYL - 3 - HYDROXYBUTYLAMINE HCL - COMPOUND 06537
NOVO NORDISK AS,"AMYLASE CONCENTRATE, CRUDE BACTERIAL"
CHEMICALS INC,IRON - HYDRODEXTRAN
RHODIA INC,SPIRAMYCIN--MFG PROCEDURES
KNOLL PHARMACEUTICAL CO UNIT BASF K&F CORP,DONDREN (MINERAL OIL)
SOLVAY USA INC,IGEPAL® CO-630 SPECIAL USP
UPJOHN CO,"STYRENE - MALEIC ACID COPOLYMER-TOXIC. DATA, CLIN REPTS & PHYSI CHARAC"
STECKER CHEMICALS INC,ASC-4 BRAND OF DIAPHENE
KV PHARMACEUTICAL CO,NOLAMINE REPEAT ACTION TABLETS
SB PENICK AND CO,PHOLCODINE - MFR' & SPECS
AVECIA INC,SDM-40 (25% ISOSORBIDE DINITRATE IN LACTOSE)
MINERALS AND CHEMICALS PHILIPP CORP,PHARMASORB - REGULAR & COLLOIDAL
MONSANTO CO,"SANTOPHEN 1, o-BENZYL-p-CHLOROPHENOL"
WARNER LAMBERT CO LLC,PARENTERAL MANUFACTURE
ARMOUR PHARMACEUTICAL CO,MANUFACTURING CONTROL PROCEDURES
SB PENICK AND CO,INOSITOL HEXANICOTINATE
PRINCETON LAB PRODS CO,"TRYPSIN, CHYMOTRYPSIN & RIBONUCLEASE - MF'G PROCEDURES & ASSAYS"
ELI LILLY AND CO,VORTEL TABLETS
PHARMACIA LABORATORIES INC,LOW MOLECULAR DEXTRAN
WALLERSTEIN,ENZYMES
AMERICAN CYANAMID CO,NEOMYCIN BASE - MF'G PROCEDURES & SPECS
HELENA RUBINSTEIN INC,WHITE MAGNOLIA PERFUME OIL FORMULATION
SYNTEX LABORATORIES INC SUB SYNTEX CORP,6A - CHLORO - PREDNISONE ACETATE (MFG PROCEDURE & SPECS)
EASTMAN CHEMICAL CO,MYVACET
ROBAPHARM LTD,ROBUDEN - MF'G PROCEDURES & SPECS
EATON LABS DIV NORWICH PHARMACAL CO,NIDRAFUR MIX
KNOLL PHARMACEUTICAL CO UNIT BASF K&F CORP,"MF'G PROCEDURES, & CONTROLS"
WALLERSTEIN,AMYLOLYTIC AND PROTEOLYTIC ENZYMES
RHONE POULENC PHARMACEUTICALS DIV RHONE POULENC INC,EMULPHOR EL - 620 & EL - 719
KV PHARMACEUTICAL CO,PYRILAMINE - PHENYLEPHRINE SUSTAINED ACTION CAPSULES
WAITAKI INTERNATIONAL BIOSCIENCES SUB WAITAKI CANADA LTD,TRYPSIN & a - CHYMOTRYPSIN - PREPARTION & ASSAY METHODS
GIVAUDAN FLAVORS CORP,FLAVOR FORMULATIONS
REED LANE INC,"CONTRACT PACKAGING FACILITIES LOCATED IN WAYNE, NJ"
WORTHINGTON BIOCHEM CORP,"DESOXYRIBONUCLEASE, PANCREATIC"
SB PENICK AND CO,"PHENAZOCINE HYDROBROMIDE - MF'G PROCED., SPECS, CLIN. & TOXICITY DATA"
JOHN MANVILLE PRODUCTS CORP,MICRO-CEL & CELKATE
ROUSSEL CORP,DESERPIDINE SYNTHETIC
ROYAL NETHERLANDS FERMENTATIONS LTD,PIMARICIN
ELI LILLY AND CO,IMIDAZOLIUM BROMIDE DERIVATIVE
HESS AND CLARK CO DIV RICHARDSON-MERRELL INC,NIHYDRAZONE - FIELD RESEARCH DATA
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,"FORMULAE FOR VARIOUS STANDARD COATING SOLUTIONS ,LAKEDYE"
ELI LILLY AND CO,TYLOSIN
REYNAUD LTD,PERBRO CLOUD
SANOFI AVENTIS CHIMIE,"1-(A-HYDROXYETHYL)-2-METHYL-5-NITRO-IMIDAZOLE,A NEW TRICHOMONOCIDE"
WYETH-AYERST LABORATORIES,DIETHYLSTILBESTROL IMPLANTATION PELLETS
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,GALLIMYCIN -10+ ZOALENE
NORWICH PHARMACAL CO,FURALTADONE MASTITIS PREPARATION - SQUEEJET DISPENSER
RP SCHERER CORP,FERROUS CITRATE
DRAGOCO INC,AZULENE
DOLE CO,BROMELAIN - COMMERICAL GRADE MF'G PROCEDURES
SYNTEX LABORATORIES INC SUB SYNTEX CORP,MFG OF BULK--19-NOR-17a-ETHINYL-TESTOSTERONE-17B-MONOENANTHATE
MCMILLEN FEED MILLS,"METHODS IN FACILS & CONTROLS FOR THE MFG, PROCESSING, PACK. OF DRUGS"
GENERAL MILLS INC,METHODS FACILS & CONTROLS - FOR MFG PROCESSING & PACK. OF DRUGS.
DSM NUTRITIONAL PRODUCTS INC,5% D-METHORPHAN HYDROBROMIDE ADSORBATE POWDER
BIO-RAMO DRUG CO INC,IRON POLYSACCHARIDE RAW MATERIAL USED IN MFG OF DI-FERRON INJECTION
SHARP CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN CONSHOHOCKEN, PENNSYLVANIA."
UPJOHN CO,"MANUFACTURING ,PACKAGING AND CONTROLS PROCEDURES-THIS IS A VET MED DMF"
EMERY PERSONAL CARE PRODUCTS GROUP,NIMLESTROL; LANFRAX; LANTROL; LANFRAX WS55 (LANOLIN PRODUCTS)
CHAS PFIZER AND CO INC,OLEANSOMYCIN AND COCCIDIOSTATS IN POULTRY FEED
ICI AMERICAS INC,SORBITAN MONOOLEATE (SPAN 80) (VET MED) REFERRED TO PESTICIDE BRANCH
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,BIPHENAMINE HYDROCHLORIDE
RHONE POULENC PHARMACEUTICALS DIV RHONE POULENC INC,IGEPAL CO 887 (SAME AS IGEPAL 880) CONTRLS & TOXICITY
RHONE POULENC PHARMACEUTICALS DIV RHONE POULENC INC,BIOPAL VRO-20
SB PENICK AND CO,NEODECYLLIN (NEOMYCIN UNDECYLENATE)
WORTHINGTON BIOCHEM CORP,CHYMOTRYPSIN (MANUF PROCEDURE)
WALLERSTEIN,CELLASE 1000
SYNTEX SA,"PARAMETHASONE ACETATE--MANUF PROCEDS,"
ER SQUIBB AND SONS INC,PICCOLITE RESIN S 115 L
SYNTEX SA,DROMOSTANOLONE PROPIONATE
WITHMORE FEEDS INC,ZOALENE (IMPROVED HIGH ENER-G-BROILER RATION Z MEDICATED W/ ZOALENE)
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,DIMETHADIONE
SYNTEX SA,FLURANDRENOLONE
SYNTEX SA,62 FLUORO-16 2 METHYL HCL 62 FLUORO - 16 2 METHYL PREDNISOLONE ACETATE
SYNTEX SA,6- CHLORO - 6 - DEHYDRO- 17A - ACETOXY PROGESTERONE
WATSON LABORATORIES INC,MESTRANOL 3-METHOXY-172-ETHINYL-ESTRADIOL- MANUF PROCEDURES
DR REDDYS LABORATORIES LTD,FLUOCINOLONE ACETONIDE
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,BUTYLPHENAMIDE
IOI OLEO GMBH,"WITEPSOL, HARD FAT SUPPOSITORY BASE"
HALES & HUNTER,STANDARD OPERATING PROCEDS FOR MANUF MEDICATED FEEDS
SB PENICK AND CO,MEPHENOXALONE- METHODS OF MANUF.
UNION CARBIDE CORP,SILICONE X-251
DUPHAR BV,DYDROGESTERONE (FORMERLY ISOPREGNENONE)
RP SCHERER CORP,"FERROUS CITRATE, MANUF SPECS & CLINICAL DATA"
SB PENICK AND CO,GLYCOPYRROLATE
STRONG COBB ARNER INC,VICKS SINUS ANTICONGESTION TIME COVE TABLETS TRI-SPAN
H LUNDBECK AND CO AS,CALCIUM - AMPHOMYCIN
IMC CHEMICAL GROUP INC SUB INTERNATIONAL MINERALS CHEMICAL CORP,TROMETHAMINE
RHODIA INC,ETHIONAMIDE
DOW CHEMICAL CO,FACILITIES & CONTROLS (METHOXY FLURANE)
NATIONAL STARCH AND CHEMICAL CO,INSTANT CLEARJEL
PRODOTTI CHIMICI DOTTORI RE,MEPROBAMATE
CHEMAGRO CORP,NEGUVON
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,SULFACHLOROPYRIDAZINE
CHAS PFIZER AND CO INC,L'-LYSINE MONOHYDROCHLORIDE
